id,posttypeid,acceptedanswerid,creationdate,score,viewcount,body,owneruserid,lasteditoruserid,lasteditordisplayname,lasteditdate,lastactivitydate,title,tags,answercount,commentcount,favoritecount,communityowneddate
18,2,,2008-08-01T05:12:44.193,57,,"<p>For a table like this:</p>

<pre><code>CREATE TABLE binary_data (
    id INT(4) NOT NULL AUTO_INCREMENT PRIMARY KEY,
    description CHAR(50),
    bin_data LONGBLOB,
    filename CHAR(50),
    filesize CHAR(50),
    filetype CHAR(50)
);
</code></pre>

<p>Here is a PHP example:</p>

<pre><code>&lt;?php
    // store.php3 - by Florian Dittmer &lt;dittmer@gmx.net&gt;
    // Example php script to demonstrate the storing of binary files into
    // an sql database. More information can be found at http://www.phpbuilder.com/
?&gt;

&lt;html&gt;
    &lt;head&gt;&lt;title&gt;Store binary data into SQL Database&lt;/title&gt;&lt;/head&gt;

    &lt;body&gt;
        &lt;?php
            // Code that will be executed if the form has been submitted:

            if ($submit) {
                // Connect to the database (you may have to adjust
                // the hostname, username or password).

                mysql_connect(""localhost"", ""root"", ""password"");
                mysql_select_db(""binary_data"");

                $data = mysql_real_escape_string(fread(fopen($form_data, ""r""), filesize($form_data)));

                $result = mysql_query(""INSERT INTO binary_data (description, bin_data, filename, filesize, filetype) "".
                                    ""VALUES ('$form_description', '$data', '$form_data_name', '$form_data_size', '$form_data_type')"");

                $id= mysql_insert_id();
                print ""&lt;p&gt;This file has the following Database ID: &lt;b&gt;$id&lt;/b&gt;"";

                mysql_close();
            } else {

                // else show the form to submit new data:
        ?&gt;
        &lt;form method=""post"" action=""&lt;?php echo $PHP_SELF; ?&gt;"" enctype=""multipart/form-data""&gt;
            File Description:&lt;br&gt;
            &lt;input type=""text"" name=""form_description""  size=""40""&gt;
            &lt;input type=""hidden"" name=""MAX_FILE_SIZE"" value=""1000000""&gt;
            &lt;br&gt;File to upload/store in database:&lt;br&gt;
            &lt;input type=""file"" name=""form_data""  size=""40""&gt;
            &lt;p&gt;&lt;input type=""submit"" name=""submit"" value=""submit""&gt;
        &lt;/form&gt;

        &lt;?php
            }
        ?&gt;
    &lt;/body&gt;
&lt;/html&gt;
</code></pre>
",,126039,Jeff Atwood,2016-06-02T05:56:26.060,2016-06-02T05:56:26.060,,,,2,,
19,1,531,2008-08-01T05:21:22.257,305,44869,"<p>I'm looking for the fastest way to obtain the value of π, as a personal challenge. More specifically, I'm using ways that don't involve using <code>#define</code> constants like <code>M_PI</code>, or hard-coding the number in.</p>

<p>The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not portable. I've included it as a baseline to compare against the other versions. In my tests, with built-ins, the <code>4 * atan(1)</code> version is fastest on GCC 4.2, because it auto-folds the <code>atan(1)</code> into a constant. With <code>-fno-builtin</code> specified, the <code>atan2(0, -1)</code> version is fastest.</p>

<p>Here's the main testing program (<code>pitimes.c</code>):</p>

<pre class=""lang-c prettyprint-override""><code>#include &lt;math.h&gt;
#include &lt;stdio.h&gt;
#include &lt;time.h&gt;

#define ITERS 10000000
#define TESTWITH(x) {                                                       \
    diff = 0.0;                                                             \
    time1 = clock();                                                        \
    for (i = 0; i &lt; ITERS; ++i)                                             \
        diff += (x) - M_PI;                                                 \
    time2 = clock();                                                        \
    printf(""%s\t=&gt; %e, time =&gt; %f\n"", #x, diff, diffclock(time2, time1));   \
}

static inline double
diffclock(clock_t time1, clock_t time0)
{
    return (double) (time1 - time0) / CLOCKS_PER_SEC;
}

int
main()
{
    int i;
    clock_t time1, time2;
    double diff;

    /* Warmup. The atan2 case catches GCC's atan folding (which would
     * optimise the ``4 * atan(1) - M_PI'' to a no-op), if -fno-builtin
     * is not used. */
    TESTWITH(4 * atan(1))
    TESTWITH(4 * atan2(1, 1))

#if defined(__GNUC__) &amp;&amp; (defined(__i386__) || defined(__amd64__))
    extern double fldpi();
    TESTWITH(fldpi())
#endif

    /* Actual tests start here. */
    TESTWITH(atan2(0, -1))
    TESTWITH(acos(-1))
    TESTWITH(2 * asin(1))
    TESTWITH(4 * atan2(1, 1))
    TESTWITH(4 * atan(1))

    return 0;
}
</code></pre>

<p>And the inline assembly stuff (<code>fldpi.c</code>) that will only work for x86 and x64 systems:</p>

<pre class=""lang-c prettyprint-override""><code>double
fldpi()
{
    double pi;
    asm(""fldpi"" : ""=t"" (pi));
    return pi;
}
</code></pre>

<p>And a build script that builds all the configurations I'm testing (<code>build.sh</code>):</p>

<pre><code>#!/bin/sh
gcc -O3 -Wall -c           -m32 -o fldpi-32.o fldpi.c
gcc -O3 -Wall -c           -m64 -o fldpi-64.o fldpi.c

gcc -O3 -Wall -ffast-math  -m32 -o pitimes1-32 pitimes.c fldpi-32.o
gcc -O3 -Wall              -m32 -o pitimes2-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -fno-builtin -m32 -o pitimes3-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -ffast-math  -m64 -o pitimes1-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall              -m64 -o pitimes2-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall -fno-builtin -m64 -o pitimes3-64 pitimes.c fldpi-64.o -lm
</code></pre>

<p>Apart from testing between various compiler flags (I've compared 32-bit against 64-bit too, because the optimisations are different), I've also tried switching the order of the tests around. But still, the <code>atan2(0, -1)</code> version still comes out on top every time.</p>
",13,13,Chris Jester-Young,2018-05-15T16:45:05.853,2019-01-31T02:00:09.320,What is the fastest way to get the value of π?,<performance><algorithm><language-agnostic><unix><pi>,23,16,79,
22,2,,2008-08-01T12:07:19.500,32,,"<p>The best way that I know of because of leap years and everything is:</p>

<pre><code>DateTime birthDate = new DateTime(2000,3,1);
int age = (int)Math.Floor((DateTime.Now - birthDate).TotalDays / 365.25D);
</code></pre>

<p>Hope this helps.</p>
",17,17,Nick,2008-08-01T15:26:37.087,2008-08-01T15:26:37.087,,,,0,,2011-08-16T19:40:43.080
24,1,49,2008-08-01T12:12:19.350,156,67186,"<p>If I have a <code>trigger</code> <code>before the update</code> on a table, how can I throw an error that prevents the update on that table?</p>
",22,5195227,Jim Anderson,2016-03-11T08:26:05.063,2016-11-19T21:05:59.207,Throw an error in a MySQL trigger,<mysql><database><triggers>,6,0,23,
25,1,1443907,2008-08-01T12:13:50.207,137,10282,"<p>I'm having issues getting the C sockets API to work properly in C++ on <code>z/OS</code>.</p>

<p>Although I am including <code>sys/socket.h</code>, I still get compile time errors telling me that <code>AF_INET</code> is not defined.</p>

<p>Am I missing something obvious, or is this related to the fact that being on <code>z/OS</code> makes my problems much more complicated?</p>

<hr>

<p><strong>Update</strong>: Upon further investigation, I discovered that there is an <code>#ifdef</code> that I'm hitting. Apparently <code>z/OS</code> isn't happy unless I define which ""type"" of sockets I'm using with:</p>

<pre><code>#define _OE_SOCKETS
</code></pre>

<p>Now, I personally have no idea what this <code>_OE_SOCKETS</code> is actually for, so if any <code>z/OS</code> sockets programmers are out there (all 3 of you), perhaps you could give me a rundown of how this all works?</p>

<hr>

<p>Test App</p>

<pre><code>#include &lt;sys/socket.h&gt;

int main()
{
    return AF_INET;
}
</code></pre>

<p>Compile/Link Output:</p>

<pre><code>cxx -Wc,xplink -Wl,xplink -o inet_test inet.C

""./inet.C"", line 5.16: CCN5274 (S) The name lookup for ""AF_INET"" did not find a declaration.
CCN0797(I) Compilation failed for file ./inet.C. Object file not created.
</code></pre>

<hr>

<p>A check of sys/sockets.h does include the definition I need, and as far as I can tell, it is not being blocked by any #ifdef statements.</p>

<p>I have however noticed it contains the following:</p>

<pre><code>#ifdef __cplusplus
  extern ""C"" {
#endif
</code></pre>

<p>which encapsulates basically the whole file. Not sure if it matters.</p>
",23,23,user5857081,2018-08-22T16:02:31.843,2018-08-22T16:02:31.843,How to use the C socket API in C++ on z/OS,<c++><c><sockets><mainframe><zos>,9,0,6,
26,2,,2008-08-01T12:16:22.167,135,,"<p>The answer by phpguy is correct but I think there is a lot of confusion in the  additional details there.</p>

<p>The basic answer is in a <code>BLOB</code> data type / attribute domain. <strong>BLOB</strong> is short for Binary Large Object and that column data type is specific for handling binary data.</p>

<p>See <a href=""http://dev.mysql.com/doc/refman/5.7/en/blob.html"" rel=""noreferrer"">the relevant manual page for MySQL</a>.</p>
",48,126039,Geoff Dalgas,2016-06-02T05:55:17.060,2016-06-02T05:55:17.060,,,,0,,
27,2,,2008-08-01T12:17:19.357,30,,"<p>@jeff</p>

<p>IMHO yours seems a little long.  However it does seem a little more robust with support for ""yesterday"" and ""years"".  But in my experience when this is used the person is most likely to view the content in the first 30 days.  It is only the really hardcore people that come after that.  So that is why I usually elect to keep this short and simple.</p>

<p>This is the method I am currently using on one of my websites.  This only returns a relative day, hour, time.  And then the user has to slap on ""ago"" in the output.</p>

<pre><code>public static string ToLongString(this TimeSpan time)
{
    string output = String.Empty;

    if (time.Days &gt; 0)
        output += time.Days + "" days "";

    if ((time.Days == 0 || time.Days == 1) &amp;&amp; time.Hours &gt; 0)
        output += time.Hours + "" hr "";

    if (time.Days == 0 &amp;&amp; time.Minutes &gt; 0)
        output += time.Minutes + "" min "";

    if (output.Length == 0)
        output += time.Seconds + "" sec"";

    return output.Trim();
}
</code></pre>
",17,17,Nick Berardi,2008-08-01T13:16:49.127,2008-08-01T13:16:49.127,,,,0,,2009-09-04T13:15:59.820
29,2,,2008-08-01T12:19:17.417,95,,"<p>There are no HTTP headers that will report the clients timezone so far although it has been suggested to include it in the HTTP specification.</p>

<p>If it was me, I would probably try to fetch the timezone using clientside JavaScript and then submit it to the server using Ajax or something.</p>
",19,,,,2008-08-01T12:19:17.417,,,,4,,
30,2,,2008-08-01T12:22:40.797,37,,"<p>I've had no trouble using the BSD sockets API in C++, in GNU/Linux. Here's the sample program I used:</p>

<pre><code>#include &lt;sys/socket.h&gt;

int
main()
{
    return AF_INET;
}
</code></pre>

<p>So my take on this is that z/OS is probably the complicating factor here, however, because I've never used z/OS before, much less programmed in it, I can't say this definitively. :-P</p>
",13,,,,2008-08-01T12:22:40.797,,,,0,,
31,2,,2008-08-01T12:22:51.593,139,,"<p>The parent <code>div</code> needs to have a defined <code>width</code>, either in pixels or as a percentage. In Internet&nbsp;Explorer&nbsp;7, the parent <code>div</code> needs a defined <code>width</code> for child percentage <code>div</code>s to work correctly.</p>
",,63550,,2016-03-19T06:10:52.170,2016-03-19T06:10:52.170,,,,0,,
33,2,,2008-08-01T12:26:39.773,456,,"<p><code>Math.Floor</code> rounds down, <code>Math.Ceiling</code> rounds up, and <code>Math.Truncate</code> rounds towards zero. Thus, <code>Math.Truncate</code> is like <code>Math.Floor</code> for positive numbers, and like <code>Math.Ceiling</code> for negative numbers. Here's the <a href=""http://msdn.microsoft.com/en-us/library/system.math.truncate.aspx"" rel=""noreferrer"">reference</a>.</p>

<p>For completeness, <code>Math.Round</code> rounds to the nearest integer. If the number is exactly midway between two integers, then it rounds towards the even one. <a href=""http://msdn.microsoft.com/en-us/library/system.math.round.aspx"" rel=""noreferrer"">Reference.</a></p>

<p>See also: <a href=""https://stackoverflow.com/questions/14/whats-the-difference-between-math-floor-and-math-truncate-in-c/580252#580252"">Pax Diablo's answer</a>. Highly recommended!</p>
",13,-1,,2017-05-23T12:03:01.573,2009-10-14T02:09:03.030,,,,4,,
34,1,,2008-08-01T12:30:57.630,82,8597,"<p>How do I forcefully unload a <code>ByteArray</code> from memory using ActionScript 3?</p>

<p>I have tried the following:</p>

<pre><code>// First non-working solution
byteArray.length = 0;
byteArray = new ByteArray();

// Second non-working solution
for ( var i:int=0; i &lt; byteArray.length; i++ ) {
    byteArray[i] = null;
}
</code></pre>
",,5321363,,2018-05-30T15:53:47.560,2018-05-30T15:54:44.000,Unloading a ByteArray using Actionscript 3,<arrays><actionscript-3><flex>,8,0,2,
36,1,352,2008-08-01T12:35:56.917,130,53359,"<p>How can I monitor an SQL Server database for changes to a table without using triggers or modifying the structure of the database in any way? My preferred programming environment is <a href=""http://en.wikipedia.org/wiki/.NET_Framework"" rel=""noreferrer"">.NET</a> and C#.</p>

<p>I'd like to be able to support any <a href=""http://en.wikipedia.org/wiki/Microsoft_SQL_Server#Genesis"" rel=""noreferrer"">SQL Server 2000</a> SP4 or newer. My application is a bolt-on data visualization for another company's product. Our customer base is in the thousands, so I don't want to have to put in requirements that we modify the third-party vendor's table at every installation.</p>

<p>By <em>""changes to a table""</em> I mean changes to table data, not changes to table structure.</p>

<p>Ultimately, I would like the change to trigger an event in my application, instead of having to check for changes at an interval.</p>

<hr>

<p>The best course of action given my requirements (no triggers or schema modification, SQL Server 2000 and 2005) seems to be to use the <code>BINARY_CHECKSUM</code> function in <a href=""http://en.wikipedia.org/wiki/Transact-SQL"" rel=""noreferrer"">T-SQL</a>. The way I plan to implement is this:</p>

<p>Every X seconds run the following query:</p>

<pre><code>SELECT CHECKSUM_AGG(BINARY_CHECKSUM(*))
FROM sample_table
WITH (NOLOCK);
</code></pre>

<p>And compare that against the stored value. If the value has changed, go through the table row by row using the query:</p>

<pre><code>SELECT row_id, BINARY_CHECKSUM(*)
FROM sample_table
WITH (NOLOCK);
</code></pre>

<p>And compare the returned checksums against stored values.</p>
",32,2571493,Mark Harrison,2016-11-30T07:50:37.517,2017-02-27T13:35:29.970,Check for changes to an SQL Server table?,<sql><sql-server><datatable><rdbms>,8,1,24,
39,1,45,2008-08-01T12:43:11.503,88,5415,"<p>I am aware that in <a href=""http://en.wikipedia.org/wiki/.NET_Framework"" rel=""nofollow noreferrer"">.NET</a> there are three timer types (see <em><a href=""http://msdn.microsoft.com/en-us/magazine/cc164015.aspx"" rel=""nofollow noreferrer"">Comparing the Timer Classes in the .NET Framework Class Library</a></em>). I have chosen a threaded timer as the other types can drift if the main thread is busy, and I need this to be reliable.</p>

<p>The way this timer works in the control of the timer is put on another thread so it can always tick along with the work begin completed on the parent thread when it is not busy.</p>

<p>The issue with this timer in a console application is that while the timer is ticking along on another thread the main thread is not doing anything to the application closes.</p>

<p>I tried adding a <code>while true</code> loop, but then the main thread is too busy when the timer does go off.</p>
",33,567854,Jim Anderson,2019-01-20T13:50:37.530,2019-01-20T13:50:37.530,Reliable timer in a console application,<c#><.net><vb.net><timer>,2,0,2,
42,1,77,2008-08-01T12:50:18.587,259,33287,"<p>I am starting a new web application in PHP and this time around I want to create something that people can extend by using a plugin interface. </p>

<p>How does one go about writing 'hooks' into their code so that plugins can attach to specific events?</p>
",37,4595675,Vaibhav,2015-12-14T20:05:51.823,2017-02-20T11:18:33.207,Best way to allow plugins for a PHP application,<php><plugins><architecture><hook>,8,0,111,
44,2,,2008-08-01T12:55:42.413,19,,"<p>Consider using a <a href=""http://msdn.microsoft.com/en-us/library/system.threading.manualresetevent.aspx"" rel=""noreferrer"" title=""MSDN Reference"">ManualResetEvent</a> to block the main thread at the end of its processing, and call <code>Reset()</code> on it once the timer's processing has finished.  If this is something that needs to run constantly, consider moving this into a service process instead of a console app.</p>
",35,967315,,2012-10-14T12:20:15.140,2012-10-14T12:20:15.140,,,,0,,
45,2,,2008-08-01T12:56:37.920,53,,"<p>You can use something like <code>Console.ReadLine()</code> to block the main thread, so other background threads (like timer threads) will still work. You may also use an <a href=""http://msdn.microsoft.com/en-us/library/system.threading.autoresetevent.aspx"" rel=""noreferrer"">AutoResetEvent</a> to block the execution, then (when you need to) you can call Set() method on that AutoResetEvent object to release the main thread. Also ensure that your reference to Timer object doesn't go out of scope and garbage collected.</p>
",39,967315,huseyint,2012-10-14T12:20:06.700,2012-10-14T12:20:06.700,,,,0,,
48,1,31910,2008-08-01T13:01:17.303,243,203357,"<p>Let's say you create a Wizard in an HTML form. One button goes back, and one goes forward.  Since the <em>back</em> button appears first in the markup when you press Enter it will use that button to submit the form. </p>

<p>Example:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;form&gt;
  &lt;!-- put your cursor in this field and press Enter --&gt;
  &lt;input type=""text"" name=""field1"" /&gt;

  &lt;!-- This is the button that will submit --&gt;
  &lt;input type=""submit"" name=""prev"" value=""Previous Page"" /&gt;

  &lt;!-- But this is the button that I WANT to submit --&gt;
  &lt;input type=""submit"" name=""next"" value=""Next Page"" /&gt;
&lt;/form&gt;</code></pre>
</div>
</div>
</p>

<p>What I would like to do, is get to decide which button is used to submit the form when a user presses Enter. That way, when you press Enter the Wizard will move to the next page, not the previous. Do you have to use <code>tabindex</code> to do this?</p>
",40,2246271,kevin d,2017-04-12T17:19:03.337,2018-04-25T06:28:32.217,Multiple submit buttons in an HTML form,<html><form-submit><html-form><submit-button>,23,0,32,
49,2,,2008-08-01T13:02:51.900,57,,"<p><a href=""http://www.brokenbuild.com/blog/2006/08/15/mysql-triggers-how-do-you-abort-an-insert-update-or-delete-with-a-trigger/"" rel=""noreferrer"">Here is one hack</a> that may work. It isn't clean, but it looks like it might work:</p>

<p>Essentially, you just try to update a column that doesn't exist.</p>
",43,957909,,2012-12-24T21:24:41.017,2012-12-24T21:24:41.017,,,,1,,
51,2,,2008-08-01T13:07:52.810,26,,"<p>Why don't you want to use triggers?  They are a good thing if you use them correctly.  If you use them as a way to enforce referential integrity that is when they go from good to bad.  But if you use them for monitoring, they are not really considered taboo.</p>
",17,3735690,,2017-01-26T17:38:44.893,2017-01-26T17:38:44.893,,,,0,,
52,2,,2008-08-01T13:08:59.127,19,,"<p>Have a look at this article</p>

<p><a href=""http://www.gskinner.com/blog/archives/2006/06/as3_resource_ma.html"" rel=""noreferrer"">http://www.gskinner.com/blog/archives/2006/06/as3_resource_ma.html</a></p>

<p>IANA actionscript programmer, however the feeling I'm getting is that, because the garbage collector might not run when you want it to.</p>

<p>Hence
<a href=""http://www.craftymind.com/2008/04/09/kick-starting-the-garbage-collector-in-actionscript-3-with-air/"" rel=""noreferrer"">http://www.craftymind.com/2008/04/09/kick-starting-the-garbage-collector-in-actionscript-3-with-air/</a></p>

<p>So I'd recommend trying out their collection code and see if it helps</p>

<pre><code>private var gcCount:int;
private function startGCCycle():void{
    gcCount = 0;
    addEventListener(Event.ENTER_FRAME, doGC);
}
private function doGC(evt:Event):void{
    flash.system.System.gc();
    if(++gcCount &gt; 1){
        removeEventListener(Event.ENTER_FRAME, doGC);
        setTimeout(lastGC, 40);
    }
}
private function lastGC():void{
    flash.system.System.gc();
}
</code></pre>
",23,,,,2008-08-01T13:08:59.127,,,,0,,
53,2,,2008-08-01T13:08:59.487,24,,"<p>(I'm not positive about this, but...)</p>

<p>AS3 uses a non-deterministic garbage collection. Which means that unreferenced memory will be freed up whenever the runtime feels like it (typically not unless there's a reason to run, since it's an expensive operation to execute). This is the same approach used by most modern garbage collected languages (like C# and Java as well).</p>

<p>Assuming there are no other references to the memory pointed to by <code>byteArray</code> or the items within the array itself, the memory will be freed at some point after you exit the scope where <code>byteArray</code> is declared.</p>

<p>You can force a garbage collection, though you really shouldn't. If you do, do it only for testing... if you do it in production, you'll hurt performance much more than help it.</p>

<p>To force a GC, try (yes, twice):</p>

<pre><code>flash.system.System.gc();
flash.system.System.gc();
</code></pre>

<p><a href=""http://www.craftymind.com/2008/04/09/kick-starting-the-garbage-collector-in-actionscript-3-with-air/"" rel=""noreferrer"">You can read more here</a>.</p>
",34,1668244,,2014-07-10T21:03:46.907,2014-07-10T21:03:46.907,,,,0,,
56,2,,2008-08-01T13:10:16.473,53,,"<p>Give your submit buttons same name like this:</p>

<pre><code>&lt;input type=""submit"" name=""submitButton"" value=""Previous Page"" /&gt;
&lt;input type=""submit"" name=""submitButton"" value=""Next Page"" /&gt;
</code></pre>

<p>When the user presses enter and the <em>Request</em> goes to server, you can check the value for <code>submitButton</code> on your server-side code which contains a collection of form <code>name/value</code> pairs. For example in classic ASP:</p>

<pre class=""lang-vb prettyprint-override""><code>If Request.Form(""submitButton"") = ""Previous Page"" Then
    ' Code for Previous Page
ElseIf Request.Form(""submitButton"") = ""Next Page"" Then
    ' Code for Next Page
End If
</code></pre>

<p>Reference: <a href=""http://www.chami.com/tips/internet/042599I.html"" rel=""noreferrer"">Using multiple submit buttons on a single form</a></p>
",39,2354564,,2014-07-14T07:55:42.730,2014-07-14T07:55:42.730,,,,2,,
58,2,,2008-08-01T13:14:30.303,60,,"<p>Would it be possible for you to change the previous button type into a button like this:  </p>

<pre><code>&lt;input type=""button"" name=""prev"" value=""Previous Page"" /&gt;
</code></pre>

<p>Now the Next button would be the default, plus you could also add the <code>default</code> attribute to it so that your browser will highlight it like so:</p>

<pre><code>&lt;input type=""submit"" name=""next"" value=""Next Page"" default /&gt;
</code></pre>

<p>Hope that helps.</p>
",37,875317,,2015-07-06T22:50:09.980,2015-07-06T22:50:09.980,,,,6,,
59,1,43110,2008-08-01T13:14:33.797,92,23857,"<p>I have a <code>DataTable</code> with a <code>Name</code> column. I want to generate a collection of the unique names ordered alphabetically. The following query ignores the <em>order by</em> clause.</p>

<pre><code>var names =
    (from DataRow dr in dataTable.Rows
    orderby (string)dr[""Name""]
    select (string)dr[""Name""]).Distinct();
</code></pre>

<p>Why does the <code>orderby</code> not get enforced?</p>
",45,3919949,Keith,2018-01-30T16:56:45.910,2018-06-25T10:56:10.077,"How do I get a distinct, ordered list of names from a DataTable using LINQ?",<c#><linq><.net-3.5>,7,0,3,
