id,reputation,creationdate,displayname,lastaccessdate,websiteurl,location,aboutme,views,upvotes,downvotes,profileimageurl,accountid
29,75959,2008-08-01T12:24:53.820,Michael Haren,2019-03-01T14:50:13.607,http://blog.wassupy.com/search/label/Technology,Ohio,"<ul>
<li>These days I'm a .net/sql software guy</li>
<li>I have plenty of experience on the LAMP stack, too</li>
<li>Currently toying with RoR, ObjC. and stumbling my way through LINQ to Entities</li>
<li>Currently loving ASP.NET MVC and jQuery</li>
<li>More about be on my <a href=""http://careers.stackoverflow.com/haren"">CV</a> or <a href=""http://blog.wassupy.com/search/label/Technology"" rel=""nofollow"">personal blog</a></li>
<li>mharen@gmail.com</li>
<li>Random silliness on <a href=""http://twitter.com/mharen"" rel=""nofollow"">Twitter</a></p></li>
</ul>

<p>This is a personal account and not affiliated with my employer.</p>

<p>#SOreadytohelp</p>
",5255,5794,179,,21
30,8353,2008-08-01T12:25:44.817,Grant,2019-03-01T18:24:49.787,http://beta.stackoverflow.com/badges/22/great-question,Georgia,"<p>Lead (and only) programmer for respectable hardware company.</p>
",1403,144,8,,22
32,980,2008-08-01T12:31:17.783,TimM,2018-06-28T18:29:05.740,http://www.sample.com,Alabama,I live in meteor crater.  I hate ObjC.,329,5,1,,23
33,18828,2008-08-01T12:32:10.963,John,2019-03-02T19:36:34.937,http://www.blueboxes.co.uk,"Southampton, United Kingdom","<p>I am software developer primary working with Microsoft technologies and you can find me on <a href=""http://twitter.com/johnkilmister"" rel=""nofollow noreferrer"">Twitter</a></p>

<p>#SOreadytohelp</p>
",1544,2467,28,,24
34,17426,2008-08-01T12:39:52.493,Karl Seguin,2012-02-04T00:55:28.387,http://www.openmymind.net/,"Ottawa, Canada","Check out my <a href=""http://tinyurl.com/5jaae2"" rel=""nofollow"">free ebook</a>",1754,51,9,,25
35,15632,2008-08-01T12:43:07.713,Greg Hurlman,2019-02-26T05:28:49.427,http://greghurlman.com,"Washington, DC","<p>Solution Architect on the Parature team at Microsoft based in Washington, DC.<br/>
<br/>
Coder for 25 years, .Net developer since 2001.<br/>
<br/>
Twitter: @justcallme98<br />
<br />
Xbox Live Gamertag: ExitNinetyEight</p>
",1522,452,212,,26
36,4477,2008-08-01T12:43:55.683,Pat,2019-03-02T02:31:10.160,http://www.patrickhyatt.com,"Carrboro, NC, United States","<p>Full stack developer, living in NC, working remotely for a social media analytics company headquartered in Bethesda, MD.<br>
Most proficient with WISC (<strong>W</strong>indows, <strong>I</strong>IS, <strong>S</strong>QL Server, <strong>C</strong>Sharp) stack, dabble with the rest.  </p>

<p><a href=""http://www.patrickhyatt.com"" rel=""nofollow noreferrer"">http://www.patrickhyatt.com</a></p>
",534,449,11,,27
37,4818,2008-08-01T12:44:00.723,Wally Lawless,2019-03-01T16:49:18.177,http://www.power-coder.net,"Georgetown, Canada","<p>I'm a professional developer that used to work in PHP every day. These days I work primarily with JavaScript-based technologies and Front-End software.</p>
",789,257,18,,28
38,2882,2008-08-01T12:44:28.833,blcArmadillo,2015-07-30T20:40:27.617,http://www.ianburris.com,"Detroit, MI","<p>I'm currently studying computer engineering at the University of Michigan. My interests include: machine learning, data mining, hardware design, investing, and music.</p>
",558,74,0,,29
39,11318,2008-08-01T12:44:55.743,huseyint,2019-02-27T19:57:56.077,http://huseyint.com/,"Istanbul, Turkey","<p>Livin' and breathin' .NET!</p>
",1585,559,21,,30
40,9367,2008-08-01T12:48:12.353,Kevin,2019-03-01T23:59:12.670,http://kevinx.net/,"Philadelphia, PA",,1237,640,96,,31
41,828,2008-08-01T12:56:51.897,Redbaron,2011-03-16T19:26:26.833,,Canada,,184,66,9,,32
42,21287,2008-08-01T13:00:11.640,Coincoin,2019-02-27T23:14:14.567,,"Montreal, Canada","A guy with the attention span of a dead goldfish who has been having a blast in the industry for more than 10 years.

Mostly specialized in game and graphics programming, from custom software 3D renderers to accelerated hardware pipeline programming.",1111,373,46,,33
43,1917,2008-08-01T13:02:27.907,Justin,2017-11-16T20:04:41.077,http://www.thirdandgrove.com,United States,"<p>Co-founder and CTO at <a href=""http://www.thirdandgrove.com/"" rel=""nofollow"">Third and Grove</a>, <a href=""http://www.justinemond.com/pro-web-project-management/"" rel=""nofollow"">published author</a>, lover of beer, Director of Safety at the Black Mesa Research Facility.</p>
",405,304,48,,34
44,2236,2008-08-01T13:03:39.327,Tom Grochowicz,2019-01-15T17:05:03.940,http://tom.grochowi.cz,"Austin, TX","<p>More of a lurker than an asker.</p>

<p>Currently working with Javascript, Python, and whatever else is necessary.</p>
",346,39,8,,35
45,68416,2008-08-01T13:04:45.017,Bob,2019-02-04T13:12:44.127,http://www.bob-stanton.com,United States,,2052,72,21,,36
46,11245,2008-08-01T13:13:21.413,sven,2017-05-29T11:08:05.950,http://-,Belgium,,1192,516,23,https://i.stack.imgur.com/U5kmD.jpg?s=128&g=1,37
48,5264,2008-08-01T13:25:15.757,Mat,2019-02-26T12:23:54.393,,"London, United Kingdom",,610,95,26,,38
49,17766,2008-08-01T13:29:21.053,Leon Bambrick,2019-03-02T15:51:40.580,http://secretGeek.net,Australia,"<p>Living the dream. 
creator of <a href=""http://TimeSnapper.com"" rel=""nofollow noreferrer"">http://TimeSnapper.com</a>, <a href=""http://NimbleText.com"" rel=""nofollow noreferrer"">http://NimbleText.com</a>, <a href=""http://secretGeek.net"" rel=""nofollow noreferrer"">http://secretGeek.net</a>, <a href=""http://YouMustGet.It"" rel=""nofollow noreferrer"">http://YouMustGet.It</a> and <a href=""https://YourFirstProduct.com"" rel=""nofollow noreferrer"">https://YourFirstProduct.com</a></p>
",1287,1080,18,https://i.stack.imgur.com/ehgC6.png,39
50,8340,2008-08-01T13:29:54.810,helloandre,2019-02-25T06:18:12.990,https://andre.blue,"San Francisco, CA, United States","<p>I'm <a href=""http://andrebluehs.net"" rel=""nofollow"">Andre Bluehs</a>. I build websites.</p>
",1671,814,50,,40
51,29118,2008-08-01T13:31:13.187,Yaakov Ellis,2019-03-02T17:21:26.243,http://ellisweb.net,"Yad Binyamin, Israel","<p>Husband, father, learner and programmer trying to live life as it should be lived. (@yaakov)</p>

<p>Developer @ StackExchange since 10/2013</p>
",2739,2704,44,https://www.gravatar.com/avatar/c55f4bccc99a9d23cd4f42c237eec90b?s=256&d=identicon&r=PG,41
52,2093,2008-08-01T13:33:31.543,saniul,2016-09-28T18:31:04.840,,"London, United Kingdom",,392,399,50,,42
55,7901,2008-08-01T13:40:09.767,Ryan Fox,2019-03-03T00:03:03.993,http://rcfox.ca,"Toronto, Ontario, Canada","<p>Computer Engineer</p>
",1012,280,152,,44
56,9162,2008-08-01T13:53:45.607,doekman,2019-02-28T14:06:08.043,http://www.zanstra.com/my/,"Groningen, Netherlands","<p>I'm both a Mac and Windows user. I like programming web applications. My languages of choice are Python, Javascript and C#.</p>
",784,220,6,https://i.stack.imgur.com/CqIac.png,45
57,78,2008-08-01T13:53:49.363,Chad Paulson,2011-06-19T05:21:53.290,http://chadpaulson.com/about.html,"Chicago, IL",,68,1,0,,46
58,23819,2008-08-01T13:56:33.807,cmcculloh,2019-02-14T20:50:48.467,,"Indianapolis, IN","<p>Senior Front-End Engineer at Salesforce</p>

<p>Co-Author of HTML, XHTML and CSS All-in-one Desk Reference for Dummies</p>

<p>Graduated from IU with a Bachelors of Media Arts and Science and a Certificate in Applied Computer Science.</p>

<p>Tech Editor for Building Facebook Applications for Dummies and Building Websites All-in-one for Dummies 2nd Edition.</p>

<p>Creator and maintainer of the Status-bar Calculator Firefox and Chrome extensions</p>

<p>Four years professional JS experience, three years professional Java E-Commerce experience, and four years professional experience with PHP</p>

<p>Teach Server Side Programming with PHP and Mobile Applications Development at IUPUI</p>
",1728,1041,55,,47
59,4207,2008-08-01T14:02:13.030,saint_groceon,2008-09-15T17:34:53.940,http://www.antesonic.org,"Houston, TX","I tend to program Python, PHP, VBA (sigh), and C++ every now and then.",250,24,4,,48
60,52330,2008-08-01T14:04:09.017,Dave Ward,2015-11-29T17:12:52.700,http://encosia.com,"Atlanta, GA","<p>Full stack .NET/JavaScript consultant specializing in architecture and development for sites, hybrid apps, and APIs built on web technologies.</p>
",3443,2104,228,,49
61,21867,2008-08-01T14:21:00.573,Bernard,2019-03-03T04:47:42.410,,"Auckland, New Zealand","<p>Programmer and wearer of many hats.</p>
",1664,1306,214,,50
62,4482,2008-08-01T14:21:21.930,Liron Yahdav,2019-02-23T20:44:23.650,http://example.com,"San Francisco, CA","<p>I'll fill this out someday.</p>
",748,1196,11,,51
63,6817,2008-08-01T14:25:17.443,JimDaniel,2017-01-20T20:54:59.837,http://resoapp.com,"Atlanta, GA","<p>I am a programmer with seven years experience. My current technology interests are Ruby, Rails, Objective C, iOS.</p>
",857,158,12,https://i.stack.imgur.com/M0cBF.jpg,52
64,7059,2008-08-01T14:27:12.480,t3rse,2019-02-27T16:19:11.300,http://www.t3rse.com,United States,"<p>Software developer based in Sioux Falls, South Dakota but of Ugandan extraction. Interests include photography, chess, literature, and sports.</p>
",888,259,7,,53
67,120008,2008-08-01T14:49:18.473,Rex M,2019-03-03T00:39:02.473,http://www.rexmorgan.net,United States,"<p>Building cool stuff with great teams as Engineering Director @ <a href=""http://www.inmar.com/"" rel=""nofollow"">Inmar</a>. Previously Qorvo, Volvo.<br /><br />
Connect with me on <a href=""http://twitter.com/rexm"" rel=""nofollow"">Twitter @rexm</a> or <a href=""http://github.com/rexm"" rel=""nofollow"">GitHub</a>, or directly at rex@rexmorgan.net.</p>
",9163,4187,780,,55
68,1130,2008-08-01T14:52:56.327,Jonathan,2019-03-01T20:16:39.787,,"Minneapolis, Minnesota, United States",,148,16,2,,56
70,6456,2008-08-01T15:02:45.980,Tim Boland,2017-07-07T15:01:57.000,http://www.techtoolblog.com,"Cincinnati, OH",Web App Developer,398,72,4,,57
71,23660,2008-08-01T15:05:56.503,Dillie-O,2019-03-02T00:22:46.847,http://about.me/dillieo,"Prescott, AZ","<p>Senior Software Engineer for <a href=""http://freshconsulting.com"" rel=""nofollow"">Fresh Consulting</a>. </p>

<p>See my <a href=""http://careers.stackoverflow.com/dillieo"">Careers CV</a> for geekish details.</p>

<p>See my <a href=""http://about.me/dillieo"" rel=""nofollow"">website</a> for everything else.</p>

<p><em>Bonum, Veritas, Pulcher, Techne.</em></p>

<p><em>Living. Loving. Forgiving. Never giving up...</em></p>
",2711,1444,21,,58
72,23658,2008-08-01T15:09:58.697,pix0r,2019-02-15T18:19:24.630,http://pixor.net/,"Carlsbad, CA, United States","<p>Computer nerd</p>
",1544,1234,21,,59
73,1108,2008-08-01T15:12:05.870,Joe Fontana,2018-10-02T16:32:28.560,,United States,,174,79,5,,60
75,6071,2008-08-01T15:54:25.720,Ryan Ahearn,2019-03-01T21:44:18.690,http://rcahearn.net,"Baltimore, MD","<p>I am a software engineer whose job includes coding in about every language that's ever been involved in the web.  Ruby, C, C++, PHP, Java, Javascript, Python, and Perl.</p>
",506,675,13,,61
76,3455,2008-08-01T15:56:38.010,Pete,2019-03-01T12:40:56.087,http://www.peteonsoftware.com,"Delaware, OH","<p>My name is Pete Shearer. I am a professional software developer with almost a decade of experience. I started working with VBA, then VB6 - earning my MCSD, on to classic ASP with VBScript, and now C# and ASP.Net. I mostly use Sql Server 2008 for back end development.
</p>

<p>I’ve worked for banks, hospitals, consulting companies, a small software development company, and now a health care services company.
</p>

<p>My blog title is a blatant ripoff of Joel on Software, but I consider it more of an homage!
</p>

<p>I am married, have 3 kids, and live in Ohio. GO BUCKS!!!</p>
",313,282,15,,62
77,59822,2008-08-01T16:02:03.927,Darren Kopp,2019-02-24T00:04:39.867,http://darrenkopp.com,"North Potomac, MD, USA","<p>I'm a software developer from Utah working in the Washington, DC metro area.</p>
",3001,429,49,,63
78,562,2008-08-01T16:03:23.347,A Salim,2019-02-27T19:01:41.007,http://asalim.net,Canada,"<p>@theshady</p>
",270,10,2,,64
79,18960,2008-08-01T16:05:09.163,Adam Ernst,2018-04-06T01:48:22.657,http://www.itrans.info,"New York, NY","<p>I'm an iOS developer based in New York City. I made one of the first 500 apps on the App Store with <a href=""http://www.itrans.info/"" rel=""nofollow"">iTrans, my NYC subway app</a>. I did the Khan Academy iPad app and the Turntable.fm iPhone app.</p>

<p>Now I <a href=""http://www.adamernst.com/"" rel=""nofollow"">blog</a> and work at Facebook on their iOS app.</p>
",1315,411,38,,65
80,3246,2008-08-01T16:11:11.427,alumb,2019-03-01T23:57:32.140,http://lynet.ca,"Vancouver, Canada","<p>I'm a banana. My spoon is too big.</p>
",973,143,7,,66
81,1092,2008-08-01T16:28:33.453,MattH,2019-02-27T21:41:18.960,,United States,,315,55,5,https://www.gravatar.com/avatar/?s=128&d=identicon&r=PG&f=1,67
82,13744,2008-08-01T16:28:35.497,xyz,2019-01-14T13:35:55.907,,,,1977,1326,15,,68
83,31090,2008-08-01T16:31:56.940,Zack Peterson,2019-02-22T18:13:35.590,http://careers.stackoverflow.com/zackpeterson,"Des Moines, IA","<p>I am a computer programmer with interests in both interface design and software architecture. I develop World Wide Web applications and distributed network applications. I am concerned with all facets of the software development process. I contribute to projects in an application architect role and also perform individual programming tasks.</p>
",2801,1955,63,,69
85,24751,2008-08-01T16:38:08.627,Paul Wicks,2019-03-03T00:26:56.460,,United States,,1142,471,86,,70
86,4869,2008-08-01T16:45:58.800,svrist,2019-02-26T21:00:06.000,https://blog.vrist.dk,Denmark,"<ul>
<li>Developer/Architect (Python, Elm, PostgreSQL etc)</li>
<li>Former Developer (Java, C#, Silverlight/WPF)</li>
<li>Former consultant</li>
</ul>

<p>from Copenhagen, Denmark, Europe</p>
",537,1759,60,,71
87,1280,2008-08-01T16:59:16.603,DylanJ,2017-11-08T15:12:32.027,http://john.ston.ca,Germany,,177,25,8,,72
88,2033,2008-08-01T17:09:52.793,ESRogs,2019-02-28T07:00:03.710,,,,218,326,6,,73
91,117200,2008-08-01T17:55:22.200,Michael Stum,2019-03-02T16:43:34.227,https://www.Stum.de,"Raleigh, NC, United States","<p>The same thing we do every night, Pinky. Try to take over the world!</p>

<p>Full-Stack Developer on <a href=""https://stackoverflow.com/enterprise"">Stack Overflow Enterprise</a>, working to make our little corner of the Internet better for all of us.</p>

<p>I also have <a href=""https://stum.de/"" rel=""nofollow noreferrer"">a blog</a> and a <a href=""https://twitter.com/mstum"" rel=""nofollow noreferrer"">Twitter</a>.</p>
",12116,7111,55,,75
92,17115,2008-08-01T17:55:41.827,Justin Standard,2019-03-01T16:54:43.780,http://stackoverflow.com/users/92/justin-standard,California,"<p>I am a software developer in southern California. My favorite languages are Python and Scala.  I have a ton of experience in JavaLand.</p>

<p>I can also shoot a bow and arrow, change a clutch, bake chocolate-chip-bacon-cookies, pull a mean shot of espresso, and probably dozens of other unrelated things.</p>
",3083,678,37,,76
93,6292,2008-08-01T18:23:58.790,MojoFilter,2019-03-01T19:58:04.677,,"Crystal River, Florida United States",,679,687,14,,77
94,114,2008-08-01T18:26:19.067,Stephen R.,2012-06-22T04:18:38.607,http://ontheheap.com,"Chicago, IL",,56,3,0,,78
95,14108,2008-08-01T18:28:24.817,Marek Grzenkowicz,2019-03-02T20:07:43.750,,Poland,"<p>SQL Server → .NET → SharePoint → Informatica PowerCenter → Hadoop → Python / Data analytics</p>

<p><a href=""http://www.linkedin.com/in/marekgrzenkowicz"" rel=""nofollow noreferrer"">LinkedIn</a> | <a href=""http://www.last.fm/user/chopeen"" rel=""nofollow noreferrer"">Last.fm</a> | <a href=""https://github.com/chopeen"" rel=""nofollow noreferrer"">GitHub</a></p>
",2634,2647,153,,79
96,26991,2008-08-01T18:33:48.240,Chris Marasti-Georg,2019-02-28T20:13:47.977,http://www.marastige.org,"Pittsburgh, PA","<p>Bowler with a programming problem.</p>
",1841,948,98,,80
99,9523,2008-08-01T19:25:50.707,Jason Pratt,2019-02-20T17:56:12.197,http://jasonpratt.org/,"Pittsburgh, PA","Game Developer<br>
Favorite language: Python",370,146,52,,81
100,5637,2008-08-01T20:41:59.493,Eric Haskins,2018-03-20T03:06:49.960,http://www.ehaskins.net,"Elkhorn, WI","<p>
I'm a geek. What else do you want to know?
</p>
",1837,614,12,,82
101,34802,2008-08-01T20:47:39.030,Peter Burns,2019-02-21T05:46:01.573,http://blog.rictic.com/,"San Francisco, CA","<p>I like my dynamic languages dynamic (Javascript, Python, Ruby) and my static types strong (Haskell).  Though in a pinch I have been known to code in C, Java, and C#.</p>

<p>Currently working for Google.</p>
",1759,539,64,,83
102,11615,2008-08-01T22:04:10.763,Bill,2019-01-30T17:41:03.760,,United States,"<p>I'm a software engineer, and I've been spending a lot of time using C# lately.</p>
",988,2515,38,,84
