id,count,tagname,excerptpostid,wikipostid
330,14040,safari,5423429,5423428
334,209,csla,5332655,5332654
335,1510,cvs,4998437,4998436
339,1316,meta,10387735,10387734
341,3670,xss,4903911,4903910
342,8174,queue,5780003,5780002
343,19226,collections,5756317,5756316
344,1042,nant,3624971,3624970
345,14507,io,5055064,5055063
346,718,curses,8674918,8674917
347,5,rockbox,14662652,14662651
348,29116,audio,6072221,6072220
350,24,gtd,5108381,5108380
351,1210,subsonic,5565591,5565590
352,18629,nhibernate,3624972,3607611
353,15057,parallel-processing,8337937,8337936
355,55582,validation,5114527,5114526
357,9912,xampp,5722600,5722599
359,13498,permissions,5488863,5488862
360,16482,parameters,6477436,6477435
361,23502,methods,6016074,6016073
363,196943,ajax,3877045,3877044
364,69272,rest,3624973,3607594
365,35748,url,5147326,5147325
366,180,address-bar,13318988,13318987
367,16930,syntax,5643521,5643520
368,11118,binary,5329456,5329455
369,90456,macos,4979532,4979531
370,23866,vim,3624974,3607606
371,16179,emacs,3629398,3629397
373,1300,favicon,5267987,5267986
375,7835,polymorphism,5689310,5689309
376,27516,silverlight,4171248,4171247
378,147663,wpf,3624975,3607561
379,17874,error-handling,5506485,5506484
382,146170,wordpress,3897620,3897619
386,21442,ssh,5953885,5953884
387,109015,bash,5094497,5094496
390,68966,shell,4958351,4958350
391,16008,terminal,5094651,5094650
392,70,apple-touch-icon,14979993,14979992
393,6677,usb,4974852,4974851
394,9,xfdl,18903095,18903094
398,211,podcast,5592409,5592408
402,10322,statistics,5419904,5419903
403,1517,profile,7837221,7837220
405,40,lingo,8220571,8220570
406,77,shockwave,7246063,7246062
407,10,application-integration,,
418,1913,free,5654936,5654935
419,82,planning,10463243,10463242
421,1716,environment,8662792,8662791
422,950,workspace,9422829,9422828
423,3785,mouse,5552080,5552079
426,4919,processing,4424429,4424428
427,4084,anchor,10524861,10524860
430,1726,quotes,15567009,15567008
432,18163,import,7933864,7933863
438,38,ergonomics,7430281,7430280
444,27163,model-view-controller,4890099,4890098
445,1355,datacontext,6075670,6075669
448,3570,cpu,5188063,5188062
449,216,throttle,15687401,15687400
450,11258,macros,5012833,5012832
451,6766,double,5435813,5435812
452,8792,int,8683108,8683107
454,31,project-hosting,,
456,15088,version-control,3933491,3933490
457,21934,dll,5123223,5123222
458,5497,tdd,3624976,3607615
459,7296,rss,4998411,4998410
460,1825,mvp,5044695,5044694
463,12725,coldfusion,3625252,3607120
469,25167,checkbox,5289719,5289718
470,178440,asp.net-mvc,3625253,3607478
474,43,freeware,10849950,10849949
477,3446,clr,5122630,5122629
485,2663,bdd,4479765,4479764
487,1738,build-automation,8364338,8364337
488,10698,console,5134981,5134980
491,16805,datatable,5829793,5829792
492,4467,resharper,3626623,3626622
493,4744,backup,5642094,5642093
494,17067,vbscript,3625254,3621561
495,1152,powerbuilder,3625255,3611740
496,176,textwrangler,10507948,10507947
503,2704,monads,5057222,5057221
506,17127,graphics,5695352,5695351
508,1083,agile,4998356,4998355
511,16984,concurrency,4774687,4774686
514,1403,diagram,5078906,5078905
516,2470,obfuscation,5187702,5187701
517,7860,treeview,5289633,5289632
518,857,forum,7965566,7965565
519,28586,video,5006599,5006598
520,6137,streaming,6189684,6189683
521,2484,payment,10453631,10453630
522,189244,excel,3625256,3613237
523,9287,grid,6186129,6186128
524,2947,clipboard,5146429,5146428
526,65676,powershell,3625257,3609160
527,375,cmdlets,5237269,5237268
529,11747,installation,8857134,8857133
531,13780,scripting,5526635,5526634
536,4286,hosting,6254365,6254364
537,407,dash,13110352,13110351
538,8400,erlang,3625258,3607505
540,1062,verification,7305797,7305796
541,1382,getter,7532733,7532732
542,1405,setter,7481581,7481580
543,27947,optimization,5112271,5112270
545,453,shortcuts,33797871,33797870
547,409,xen,5708222,5708221
548,2020,virtualization,8339038,8339037
549,44030,ubuntu,5022379,5022378
552,9425,mono,3625259,3607237
555,9975,formatting,8801319,8801318
556,2101,paging,7983338,7983337
558,63,jxta,4953240,4953239
559,191,hsl,15094499,15094498
560,2660,rgb,5310939,5310938
562,158,turkish,6235454,6235453
564,65,modi,11629758,11629757
565,81,dep,9962563,9962562
572,13016,tree,5047496,5047495
573,187,nslookup,9849738,9849737
578,32373,recursion,3724934,3724933
579,857,usability,5789238,5789237
580,61804,perl,3625260,3607675
581,19845,hash,5126927,5126925
582,3441,each,13440597,13440596
583,1233,boot,11481983,11481982
585,159,procedural,14724704,14724703
586,272,maintainability,13575473,13575472
588,6520,comparison,5804501,5804500
596,399,scalar,10074244,10074243
598,81535,performance,5048293,5048292
600,2686,vmware,5035375,5035374
601,13005,cron,5144066,5144065
602,4140,settings,10085602,10085601
603,21630,time,5674228,5674227
604,5350,teamcity,4890005,4890004
605,247,mbunit,6449532,6449531
606,3785,diff,7447211,7447210
607,65043,.htaccess,5034641,5034640
608,30291,mod-rewrite,3744959,3744958
609,17,mappath,,
614,175,fogbugz,3898323,3898322
618,1467,midi,3767445,3767444
619,31,interface-design,,
623,2907,complexity-theory,5786559,5786558
624,4595,big-o,5110603,5110602
627,19828,service,8104635,8104634
628,1793,reduce,12756357,12756356
629,2924,ienumerable,6428616,6428615
630,280,ienumerator,13442719,13442718
631,19150,foreach,5479110,5479109
633,1966,vpn,5488897,5488896
638,963,explorer,13318478,13318477
640,7285,maps,9679981,9679980
641,38073,ssl,5124516,5124515
642,19221,https,4985338,4985337
643,27512,iframe,5107916,5107915
644,6504,xhtml,5012850,5012849
645,1213,markup,5947383,5947382
646,488,http-referer,7966603,7966602
647,15743,orm,5253532,5253531
650,4156,rake,5150783,5150782
652,3040,clickonce,5818465,5818464
653,5442,installer,7110661,7110660
655,4963,sap,5564122,5564121
656,4642,tortoisesvn,3761153,3761152
657,4100,integration,9044250,9044249
658,12265,upload,8077660,8077659
659,239,project-planning,5214946,5214945
667,1633,ram,8301034,8301033
669,24257,sharepoint,3653617,3653616
671,1129,privileges,6058383,6058382
672,55,stsadm,,
673,1316,impersonation,5760471,5760470
674,4992,markdown,5319787,5319786
677,888,propertygrid,9793246,9793245
678,145,prototyping,24069516,24069515
680,3840,wmi,5231698,5231697
681,5525,64bit,5600773,5600772
682,792,xelement,8357843,8357842
683,14,innerxml,15636822,15636821
684,3264,replication,8887271,8887270
685,865,audit,10435517,10435516
688,39994,session,5088687,5088686
689,3825,union,6438218,6438217
691,34314,firefox,5253566,5253565
694,12577,null,5168462,5168461
696,1417,profiler,5751002,5751001
698,1888,lamp,5295381,5295380
700,4990,port,7260650,7260649
701,256,paradigms,13179115,13179114
706,602,smb,10441037,10441036
711,1621,multilingual,5402505,5402504
713,1163,ear,5783437,5783436
714,5942,websphere,5633069,5633068
716,76,rational-number,6235232,6235231
717,16866,merge,5143758,5143757
719,770,policy,23071146,23071145
722,2682,benchmarking,6605689,6605688
723,927,evaluation,19393093,19393092
724,19127,file-io,4996579,4996578
725,14617,configuration,5163171,5163170
727,2342,webcam,9213557,9213556
729,9080,ado.net,5042312,5042311
733,19366,tfs,3760798,3760797
735,2166,messaging,5408758,5408757
740,834,primitive,8021601,8021600
741,346,autoboxing,5559681,5559680
742,24702,mobile,6006809,6006808
743,6755,sms,4949738,4949737
752,49244,wcf,3624977,3607595
753,1862,soa,4987387,4987386
758,4347,workflow,5820815,5820814
759,12282,sdk,5506405,5506404
760,15266,proxy,5095179,5095178
761,6346,gem,5010171,5010170
766,1664,dsl,6852357,6852356
767,1498,t4,4830430,4830429
768,343,vsx,6127944,6127943
773,7115,seo,4044686,4044685
777,580,mapi,5708321,5708320
778,3436,pinvoke,6079938,6079937
781,3036,intellisense,5798029,5798028
782,74,xming,23180709,23180708
785,478,etag,6631433,6631432
787,1435,olap,5045182,5045181
790,399,filehelpers,5109911,5109910
792,197,xmp,9349112,9349111
793,154,qos,22350218,22350217
794,29463,networking,5253674,5253673
795,12,adsl,18105652,18105651
796,667,modem,11863348,11863347
802,7847,mercurial,3625261,3607049
804,8401,jni,4985098,4985097
805,163,nativelibrary,,
815,43,ssp,,
816,30780,search,5609248,5609247
817,2623,microcontroller,3640939,3640938
820,945635,jquery,3625262,3607053
823,11403,x86,4913044,4913043
824,30249,assembly,3640959,3640958
828,673,confirm,24723981,24723980
829,32006,events,4946849,4946848
831,2694,virtual,12207686,12207685
833,5416,height,7050447,7050446
834,5568,schema,9299844,9299843
835,1532,ddl,6973481,6973480
837,1141,remoting,7792057,7792056
838,1077,wireless,7077982,7077981
846,728,culture,13867660,13867659
847,14978,joomla,4262121,4262120
848,28650,grails,3702195,3702194
849,22527,groovy,3625263,3613160
852,8205,resources,5731220,5731219
853,4379,hook,6603930,6603929
854,82550,matlab,3625264,3609173
855,2899,firebird,3625265,3611668
856,296,interbase,8202727,8202726
859,21270,lambda,5329395,5329394
861,2922,standards,5887283,5887282
862,23201,layout,6063336,6063335
865,44999,user-interface,3625266,3623067
868,20596,gwt,3625267,3607729
869,20115,charts,7248730,7248729
873,6709,logic,4123852,4123851
874,1424,lifecycle,10428991,10428990
876,24,msf,,
877,32,cmmi,4977745,4977744
881,7448,zip,5029522,5029521
883,120,sgml,10261345,10261344
886,34,leader,36106763,36106762
887,27,community-server,9385120,9385119
888,903,moss,5159796,5159795
889,33197,winapi,3625268,3609906
890,34116,jsf,3625269,3607511
891,157,microformats,11304049,11304048
896,1953,desktop,8906637,8906636
902,9223,dojo,3625270,3607512
904,32649,post,5599997,5599996
905,118978,html5,3632559,3632558
906,1017,doctype,6203807,6203806
908,130732,xcode,3625271,3607508
912,1796,informix,3625272,3607509
913,342,spl,5171774,5171773
914,1253,wiki,4998922,4998921
916,16740,fonts,5652503,5652502
921,2748,firebug,5078947,5078946
922,502,graphing,26635137,26635136
925,1859,opera,4890083,4890082
926,33326,inheritance,4913888,4913887
928,2177,wysiwyg,4985599,4985598
930,41705,ms-access,3625273,3607034
931,1569,rcp,5945732,5945731
932,1317,jnlp,4855416,4855415
934,2587,compatibility,5644706,5644705
935,216,dnsmasq,18020194,18020193
936,575,n-tier,8356443,8356442
938,10957,linker,5128169,5128168
940,485,resume,8606453,8606452
942,30353,logging,3812354,3812352
946,2157,uuid,7085832,7085831
948,3640,log4net,3625275,3625274
952,63,helpfile,,
953,2,gltail,25220677,25220676
955,1866,jobs,8244801,8244800
962,47,scsf,7174965,7174964
964,3665,customization,7222178,7222177
965,21150,plugins,5650530,5650529
968,3378,haml,5218263,5218262
975,1007,msdn,8356675,8356674
976,2815,sybase,5551861,5551860
977,1926,icalendar,7046465,7046464
978,14155,outlook,5143722,5143721
980,8075,gmail,5772896,5772895
981,792,recurrence,9281322,9281321
982,9095,timezone,5828026,5828025
984,42762,google-app-engine,3624984,3609767
985,187,redistributable,,
989,1498,aix,6430172,6430171
990,23658,awk,3779364,3779363
991,6644,scheme,4075134,4075133
992,431,continuations,5725545,5725544
994,38167,cocoa,3624985,3608914
995,13038,notifications,6623727,6623726
996,1348,ini,6023817,6023816
997,25099,plot,8683770,8683769
1000,20249,junit,3861865,3861864
1001,6315,testng,5760258,5760257
