'Id', 'PostId', 'Score', 'Text', 'CreationDate', 'UserId'
'73', '48074', '0', 'I agree with you 100%, however, do you have an alternative to modulus in the case where performance matters?', '2008-09-07T02:51:37.203', '445087'
'74', '48078', '0', 'I meant division and modulus is 5-10 times faster on a micro with an integer division op code in the instruction set.', '2008-09-07T03:00:30.333', '445087'
'75', '48078', '0', 'Oh, sorry, I misunderstood. (Clearly.) Have you profiled the other suggestion?', '2008-09-07T03:09:36.163', '4798'
'76', '48096', '5', "Sure. I guess I'm asking in case someone can give me some really compelling example on the side of good.", '2008-09-07T03:23:43.930', '797'
'77', '48091', '0', "Yes, I see that too. I changed it to 7 because 6 evently divisible by two. I'm looking for an answer that could be used for any number known up front.", '2008-09-07T03:31:19.607', '445087'
'79', '48103', '5', "Wow, if I ever have to do it for a number other than 7, I'll have to come back and re-read this post.", '2008-09-07T03:39:33.937', '445087'
'81', '47721', '0', 'How big of an application did you move?  Was it mostly your typical CRUD or did you have complex Javascript?', '2008-09-07T03:44:06.703', '4926'
'84', '46135', '0', 'Thanks for the answer. I was assuming debug info was "built-in" to the binary as it is with GCC.', '2008-09-07T04:42:56.673', '1891'
'87', '48128', '0', 'Any specific reason you are not using the built in SessionPageStatePersister? http://msdn.microsoft.com/en-us/library/system.web.ui.sessionpagestatepersister.aspx', '2008-09-07T06:47:04.127', '1573'
'88', '10714', '1', 'As stated in the article linked in the question, the asp.net worker thread does indeed come from the runtimes thread pool.', '2008-09-07T08:37:54.657', '209'
'90', '12892', '0', "Thanks, but I'm looking for HttpHandlers specifically.", '2008-09-07T08:40:16.337', '209'
'91', '48257', '0', 'What is your question? What is not working as it should?', '2008-09-07T08:40:41.297', '2257'
'92', '47509', '0', 'This *is* the right direction, but using recursion like that breaks the O(1) restriction: The call stack will just keep growing in proportion to the word count in the input.\n\nAlso, you use reverse(foo.begin(), foo.end()) before the while loop - this is a **BUG**, as there is no way of terminating!', '2008-09-07T08:58:35.497', '2260'
'93', '44921', '0', "Thank you very much for your reply, Brian. Please see Ivan Hamilton's reply ((48259)[http://beta.stackoverflow.com/questions/44905/#48259]). In short: you are talking about the `switch` _instruction_ (of the CIL) which is not the same as the `switch` statement of C#.", '2008-09-07T09:59:02.653', '4285'
'95', '48259', '0', "The results of your experiments surprise me a bit. Did you swap yours with Brian's? His results do show an increase with size while yours don't. I'm a missing something?\n\nIn any case, thanks for the clear reply.", '2008-09-07T10:13:03.913', '4285'
'96', '48125', '9', 'This implementation is also nice if you wish to remove characters that look the same such as "l" and "1", "O" and "0". This is worthwhile when generating new passwords for users.', '2008-09-07T11:04:35.320', '4134'
'97', '45257', '0', 'Cool! have you posted your code anywhere?', '2008-09-07T11:41:35.807', '209'
'101', '48383', '0', "Doesn't that suggest that in fact the previous socket is still there and bound to the port? \nhttp://msdn.microsoft.com/en-us/library/cc319473.aspx\n\nReuseAddress   A value you use to allow binding to an address that is already in use.\n\n*is* in use, not *has been*", '2008-09-07T12:45:14.860', '4833'
'108', '44234', '5', "That's not full text searching, it's searching the logs and filenames.", '2008-09-07T14:07:22.557', '3408'
'109', '44226', '5', "That's not full text searching, it's searching the logs and filenames.", '2008-09-07T14:09:22.550', '3408'
'115', '47509', '1', 'Oops (concerning above comment): I failed to notice that Leon is using two different reverse() functions, and is thus not using recursion at all. My appologies! Leon, could you please edit your post and add a std:: qualifier to reverse(foo.begin(), fo.end())?', '2008-09-07T15:09:23.640', '2260'
'117', '48523', '0', "A side note, but people really use ObjectDataSource? I've never seen one use of it outside of MS examples...Its so ugly.", '2008-09-07T15:24:49.157', '1965'
'119', '48523', '0', 'The ObjectDataSource was a copy&paste from the cited source. I have almost never seen it in the wild tough.', '2008-09-07T15:27:40.740', '2257'
'120', '39433', '1', "I'd almost hope people not know about this feature. Far preferable that they organise their code into smaller, more meaningful methods and simply use `return`, in most cases. There is a great furore at the moment around this language construct being added to PHP6.", '2008-09-07T15:28:45.917', '1820'
'123', '47714', '0', "VS 2008's XAML Editor doesn't recognize that as a chord.", '2008-09-07T15:44:47.237', '4918'
'124', '48383', '0', "VolkerK; I think you're right.  This is where you have to be careful and make sure that the previous instance really is gone; by default, Berkley sockets will wait for 5 minutes before releasing a port/socket combination; this is the only workaround I found to work.", '2008-09-07T15:46:22.240', '5021'
'125', '48369', '0', "Its possible that IPAddress.Any is whats permitting this to work (its using different IP Addresses each time).   In any case, this wouldn't solve the problem (sorry for being unclear): ClassA is a network-communications manager class and the Socket is a class-wide variable.", '2008-09-07T15:49:04.963', '5021'
'132', '48259', '0', "It's difficult to accurately calcuate timing with such a small operation. We didn't share code, or testing procedures. I can't see why his times should increase for adjacent cases. Mine were 10x faster, so environments & test code may vary greatly.", '2008-09-07T16:33:10.817', '4729'
'133', '48502', '0', '"""To add other OpenID providers, enter the URL for your provider in the Add Provider field and click Add. Your provider must support the SeatBelt extension """\n\nUnfortunately, not many OpenID providers actually support seatbelt, making it a bit of a damp squib...', '2008-09-07T16:41:53.917', '4596'
'134', '48547', '0', "That's a nice idea, though to be pedantic the t.Rows.Any() line won't compile as dataSet.Tables.Rows is a DataRowCollection which doesn't implement IEnumerable<T> so .Any() is not available.", '2008-09-07T16:46:19.507', '3394'
'135', '46946', '0', "Your statement on variance doesn't make sense.\nIn a subtype: Covariance = the related type being subtyped &\nContravariance = related type getting supertyped.\nThis question represents a covariant (subtype used in a subtype) return type, when C# only allows an invariant (same) return type.", '2008-09-07T16:58:20.133', '4729'
'136', '48547', '0', "Oh, and sorry to be even more horribly critical but the extension method will not work when the dataset is null, rather a NullReferenceException will be raised. In addition IsEmpty() is returning the opposite of what it should - it indicates whether it's *not* empty!!", '2008-09-07T17:00:53.607', '3394'
'137', '48065', '9', 'In vim you can open > 1 buffer. :e filename. Then :bn and :bp go to the next and previous buffers. I have TAB mapped to :bn in normal mode, works wonderfully. Also :split, ctrl-w to change windows... Vim does all of that.', '2008-09-07T17:02:17.487', '4596'
'139', '46940', '0', "Irrelevant. The question asks why can't a subtype override a method with a method whose return be a subtype of the overridee's return.", '2008-09-07T17:16:28.403', '4729'
'140', '48583', '0', "@macbirdie, many thanks for this suggestion. Can you provide, or link to, any examples of this approach? I'd also be interested in hearing some general techniques on securing such a script.", '2008-09-07T17:20:18.397', '1944'
'141', '47256', '0', 'Be aware that this elegant looking solution may lead to complexities due to C# lack of generic variance support.', '2008-09-07T17:20:31.063', '4729'
'142', '43526', '1', "The only problem with ScintillaNET is that you'll have more unmanaged dependencies to pull Scintilla in.", '2008-09-07T17:21:04.510', '2655'
'144', '41808', '0', 'SnippetCompiler http://www.sliver.com/dotnet/SnippetCompiler/ uses ActiPro for its editor, too.', '2008-09-07T17:22:23.647', '2655'
'145', '48571', '0', 'Can it be done without the win32 api calls?', '2008-09-07T17:27:26.663', '3055'
'150', '36839', '1', 'Or you could just have a list of operations, returning the first error from applying each operation in the list in sequence.', '2008-09-07T17:36:56.390', '3434'
'151', '48592', '0', "I've just tried this and I couldn't get it to work unfortunately. When I add the directives as suggested, I get an Internal Server Error.", '2008-09-07T17:38:02.720', '1944'
'153', '48322', '0', 'Specifically, I am looking for a list of things to try, avoid, or watch out for.', '2008-09-07T17:48:11.153', '577'
'154', '42535', '6', 'Sure, but what about a solution using O(1) memory?', '2008-09-07T17:51:31.503', '5021'
'155', '48571', '0', '@chakrit Yes, if you allready have a user-token you can follow the examples on this page:\nhttp://msdn.microsoft.com/en-us/library/w070t6ka.aspx', '2008-09-07T17:52:36.133', '2257'
'156', '36839', '0', 'Luckily a good editor (in my case, I know VIM can do it) will reformat all your code nicely at the touch of a button.', '2008-09-07T18:22:17.980', '1084'
'157', '2962', '2', 'Actually, windows are coupled to threads, not processes.  You can have multiple message loops per process and it will let you have several completely independent windows.', '2008-09-07T18:25:03.387', '2655'
'158', '48646', '1', "So, in your opinion, what *is* the point of `const int & a_foo`?\n\nHint: there's none.", '2008-09-07T18:32:12.107', '1968'
'159', '48266', '0', 'I believe the better practice is to use "select" instead of threading on a server.  http://ilab.cs.byu.edu/python/select/echoserver.html', '2008-09-07T19:15:38.307', '2653'
'162', '22370', '0', 'I already have a client-side config solution in place. This no-touch requirement has newly dropped in my lap. Basically, we need to deploy to a massive amount of dummies end users with minimum administrative intervention. Thx anyway.', '2008-09-07T19:49:00.473', '227'
'164', '48675', '0', 'HTML is in fact not a subset of XML, but rather a descendant of SGML which has significantly more lenient syntax than XML. However your suggestion is still a good one, if he is working with XHTML (which _is_ XML) then an XML diff tool is key. BeyondCompare has a plugin for XML compares also.', '2008-09-07T20:02:07.990', '1996'
'166', '48519', '0', 'iChat screen sharing - http://www.apple.com/macosx/features/ichat.html\n\nApple Remote Desktop - http://www.apple.com/remotedesktop/\n\nBack to My Mac - http://www.apple.com/mobileme/features/mac.html\n\nScreen Sharing from Finder - http://www.apple.com/macosx/features/300.html#finder', '2008-09-07T20:15:03.950', '5076'
'169', '48778', '37', 'It can also be helpful to name the foreign key constraint.  This helps with troubleshooting fk violations.  For example:\n\n"foreign key fk_questionbank_exams ( question_exam_id ) references exams (exam_id)"', '2008-09-07T21:06:38.647', '5076'
'178', '48809', '5', 'and thus probably illegal in most jurisdictions', '2008-09-07T21:52:04.983', '4918'
'191', '48257', '0', "Nothing appears to be broken, but version numbers from CA and the DB aren't what they are supposed to be.", '2008-09-07T22:58:56.677', '4489'
'192', '48654', '0', 'The MOSS upgrade did no dependency check.', '2008-09-07T23:00:18.920', '4489'
'193', '47177', '0', 'To clarify, the sigar api gets you system info. If you want jvm info use JMX.', '2008-09-07T23:09:03.410', '828'
'195', '48879', '44', 'To add to this: You can also use partial classes in seperate files to manage your code a bit better. Put the inner class in a seperate file (SortedMap.TreeNode.cs in this case). This should keep your code clean, while also keeping your code seperated :)', '2008-09-07T23:27:10.120', '909'
'196', '23295', '1', 'In my question, I was more looking for what you like and dislike about a mock framework.  I can find the documentation and read all about it - I want to know what the people who have used it think of it.', '2008-09-07T23:44:45.180', '2030'
'198', '48905', '1', "This question might be better directed to the authors of the research paper. It's a bit esoteric for Stack Overflow. (I've always had great success contacting researchers for comment. They're usually ecstatic *anybody* is reading their work.)", '2008-09-07T23:58:52.853', '1412'
'201', '48689', '0', "This answer though correct isn't an answer to the original question.  Can someone with Editing rights reword it?", '2008-09-08T00:23:00.500', '2443'
'202', '48938', '2', "That did the trick. Google reveals the compiler directive to be {$J+}. \nIt's also in the project options, probably should have looked there :P", '2008-09-08T00:53:46.310', '369'
'203', '48938', '0', "Yeah I've been struck by that before. (edited to add details after my initial post)", '2008-09-08T00:58:22.303', '233'
'205', '48905', '7', 'I think this attitude (that theoretical questions have no bearing on a pragmatic forum) is harmful and obsolete. \n\nPragmatic approaches should be open to new technologies, because those technologies can likely improve daily activities in the near future.  eg: functional features in c#/python.', '2008-09-08T01:30:43.787', '3446'
'206', '48905', '0', "That said, Chirs's comment is probably right-on, practically speaking.  I wish it weren't though.", '2008-09-08T01:32:14.843', '3446'
'212', '49029', '0', 'Yeah, I think it is going to be like that. Especially for div.contains() type situations.', '2008-09-08T02:18:05.437', '364'
'215', '48948', '18', "Oh my god.  Is that the standard?  That's terrible!", '2008-09-08T02:49:42.660', '2653'
'217', '48942', '2', "This doesn't work with WPF.", '2008-09-08T02:55:22.367', '146637'
'218', '49080', '0', 'FYI: This has been asked a few times in the last month, might be worth searching for those as well...', '2008-09-08T02:57:17.213', '1790'
'219', '49078', '0', 'By this answer I meant that there is a standard way...', '2008-09-08T03:00:57.673', '825'
'230', '49097', '1', "That online Python interpreter is basically worthless for learning Python.  You can't define your own functions or classes, so it's not going to be much use to anyone.", '2008-09-08T03:38:04.587', '1694'
'231', '6517', '0', "Yes, I know which post you're talking about Justin. Reading it reminded me how most of the things I've learned have come from trying and learning from my own mistakes. I really can't emphasize enought the importance of learning by doing!", '2008-09-08T03:49:39.053', '781'
'233', '48905', '0', "rcreswick: I don't think the question has no bearing. I just don't think the Stack Overflow community is likely to produce a satisfactory answer.", '2008-09-08T03:55:53.377', '1412'
'237', '48948', '0', 'There are a few other ways to do it as shown above. I really thought the same.', '2008-09-08T04:39:25.003', '4960'
'238', '49185', '1', "Basically it's an ajax component, so it displays some data and then needs to special JS logic to call an action etc.\n\nWhich is why I would like it to be self contained; so you can just drop one of them in and be done with it.", '2008-09-08T05:17:40.527', '1666'
'239', '45741', '0', "I'd like to help, but I've read your Q several times and I'm just not sure what you are asking for. Can you try rephrasing your Q and be very precise.. e.g. you've defined a custom list -- did you define a list template or create a custom list? Why is it important that you installed it as a feature?", '2008-09-08T05:22:41.357', '4489'
'241', '49197', '0', 'On the right track.\nSee edit comments in question for further details.', '2008-09-08T05:57:45.470', '364'
'243', '48689', '0', "Can you please tell me where you see the discrepancy between the Q and A? I'll be happy to reword the answer.", '2008-09-08T06:09:26.923', '4997'
'245', '49233', '0', 'Good idea :D.  For the record, I like your solution better than mine.', '2008-09-08T06:27:31.780', '2653'
'247', '49233', '0', "Thanks! That's the solution I was searching. And with curl --header it is easy and clean to secify too.", '2008-09-08T06:37:04.750', '720'
'248', '49125', '2', 'Good answer, but you might want to include the for ((i=0; i<MAX; i++)); do doSomething($i); done variant as well. I think this generally preferred to the for i in $(seq 0 MAX) variant as the latter will first generate all numbers from 0 to MAX before actually executing the loop.', '2008-09-08T06:43:11.617', '4285'
'249', '17392', '0', "thanks for the answer, but this didn't work :(\nsee http://www.codeplex.com/blogengine/Thread/View.aspx?ThreadId=33705", '2008-09-08T06:52:05.840', '209'
'250', '44261', '0', "I like ceejayoz's answer bot OwenP's seems to reflect my own situation precisely. His answer also pointed me to\n\n1. how **%HOMEDRIVE%\\%HOMEPATH%** created my problem\n1. And how the AutoRun registry entry would solve my problem.\n\nThanks to all who answered.", '2008-09-08T06:54:52.370', '4491'
'253', '41088', '3', 'With 2 million files, that is likely to return only a "command line too long" error.', '2008-09-08T07:35:27.717', '4596'
'254', '41589', '0', 'Accepted because this deals with concurrency which is an issue with the testing since the main app thread terminates before BackgroundWorkers have completed their operation (and I got tired of adding Thread.Sleep!)', '2008-09-08T07:42:43.550', '832'
'255', '47380', '2', 'sqlprofiler is exactly what I needed, thank you!. It took me a while to figure out what events I needed to log (RPCCompleted) for my purposes, but seeing the amount of events you can log, I think it will also suit your needs as well.', '2008-09-08T07:43:08.073', '46'
'256', '49218', '3', "This will return an IEnumerable<int>, not a List<int>, so like aku noted, you'll want to call .ToList() on the Enumerable.Range(x,y) call.", '2008-09-08T07:49:22.347', '3641'
'261', '49284', '0', 'Sounds like a good excuse to deploy Firefox via Group Policy =)', '2008-09-08T08:13:13.570', '952'
'265', '48547', '0', 'Thanks for the feedback. It will work with nulls though.', '2008-09-08T08:30:56.070', '905'
'267', '48547', '0', "Ah, I didn't know that. That is very cool thank you for clearing that up :-)", '2008-09-08T08:44:00.547', '3394'
'269', '49346', '0', 'By prevent, do you mean "prevent it from appearing as a link" or to totally prevent it from working as a link?', '2008-09-08T09:25:10.760', '372'
'270', '49311', '0', 'Will this also get nested controls? Page.FindControl (if I remember correctly) does not search recursivly...', '2008-09-08T09:29:02.637', '2260'
'271', '49364', '0', 'I don\'t think that putting javascript in href is "The Proper Way", although it works.', '2008-09-08T09:30:55.397', '4433'
'274', '49346', '0', "Both, but it already doesn't look like a link, thats been done with CSS. I just need to make it not clickable too.", '2008-09-08T09:47:44.700', '1127460'
'275', '49346', '0', 'The code that generates this link is already quite complex and I am reluctant to add yet more complexity by adding conditional code around it to output it as a label instead of a hyperlink if I can avoid it.', '2008-09-08T09:49:27.487', '1127460'
'276', '49363', '0', "I do not want it to appear as a link or work as a link. I know that really it should be a label under this particular circumstance. However the code involved is already quite complex and I am reluctant to add more complexity with an 'if' statement if say CSS can do the job.", '2008-09-08T09:54:31.953', '1127460'
'277', '45811', '1', 'WebServiceX does not cover all service providers in India', '2008-09-08T09:59:14.827', '4021'
'278', '45293', '0', 'I should have been more specific stating that I require it in India.', '2008-09-08T10:00:01.893', '4021'
'279', '49397', '0', ':) I liked your idea.', '2008-09-08T10:00:22.437', '959'
'282', '47841', '0', "Ouch. I edited this one too many times I think... now it's a community post! Oh well. :-)", '2008-09-08T10:07:59.207', '3394'
'283', '39433', '2', 'Well, I would rather prefer to have an option to do it several ways. For example, I saw people using System.exit(1); in Servlet and EJB code, but that does not mean that we should remove System.exit(); from the JDK, right?', '2008-09-08T10:25:17.793', '4052'
'284', '49266', '0', "Thanks for this, it didn't quite work exactly but did point me in the right direction. Instead of undefining wxUSE_CONFIG_NATIVE, redefining wxUSE_CONFIG_NATIVE from its default of 1 to 0 instead does work.", '2008-09-08T10:28:34.790', '3955'
'286', '49404', '0', '@BlaM: Unfortunately the ID is a GUID and not an Int. (Which you could not know at the time). Sorry.', '2008-09-08T10:41:10.373', '1008'
'287', '49424', '0', 'Mark, I tried this but SQL Sercver complains abt the where clause. I didn\'t know you could do "WHERE \n (ThingID, PriceDateTime) IN ..."?', '2008-09-08T10:43:26.377', '1008'
'288', '46507', '1', 'Correct - using JQuery to encrypt the email address will be useless, seeing as any Bot scrapping your HTML will not be running the JQuery.', '2008-09-08T10:45:42.703', '1908'
'294', '49479', '0', 'For a full list of predefined number formatting options: http://msdn.microsoft.com/en-us/library/dwhawy9k.aspx\n\nAn alternative would be to use ToString("D2")', '2008-09-08T11:18:52.000', '1908'
'295', '49493', '1', "actually, it's svnADMIN hotcopy. Which means that this, too, will require repository filesystem access!", '2008-09-08T11:24:21.427', '5083'
'298', '49133', '0', 'Some good arguments, indeed.', '2008-09-08T11:27:32.353', '1709'
'299', '49082', '0', "That's a good question. I assume we want to find the specific needle, i.e. one you have lost in a haystack. If you just wanted to find any needle, the magnet approach suggested earlier would also work... ;)", '2008-09-08T11:29:24.160', '1709'
'300', '49311', '0', 'It will not find controls inside a listview-type control, no.', '2008-09-08T11:30:47.277', '2257'
'302', '49505', '0', 'your solution does not redirect to blah.domain.com but just rewrites to something.blah.domain.com/something, which is not how I read the original question.', '2008-09-08T11:33:34.897', '5083'
'304', '49505', '0', "I guess that is OK if they are both served by the same VirtualHost.  In particular, doing it this way means the client doesn't see the redirection - they still see something.blah.example.com.", '2008-09-08T11:42:58.900', '954'
'306', '49528', '0', 'I have mainly worked with SQL Server 2000, so this is a new concept to me. Technically, will that create a temporary table with all rows and then run the "function" over the temporary table? How does that compare in speed to my "JOINed" solution?', '2008-09-08T11:56:30.723', '999'
'310', '49538', '0', 'That was fast! I thought my own solution was unique, but you came up with something similar to start with in just a few moments.', '2008-09-08T12:22:11.130', '3377'
'316', '49606', '4', "Actually, you don't even need a server. Simply installing TortoiseSVN and running against a local repository will suffice.", '2008-09-08T13:01:09.523', '1709'
'318', '49654', '0', 'Nice :) Seems Prototype has learned some new tricks since I last used it!', '2008-09-08T13:21:02.270', '1920'
'319', '49683', '0', 'Classic article, I remember when it was first published. Those were heady, exciting times.', '2008-09-08T13:26:46.030', '1944'
'320', '49606', '0', "Jeff's post on how to set up subversion on windows: http://www.codinghorror.com/blog/archives/001093.html", '2008-09-08T13:39:50.477', '5056'
'321', '49598', '0', 'Yes, you are right. However because the question stated windowed applications I assumed this is the case.', '2008-09-08T13:39:57.760', '1242'
'322', '49666', '3', "as long as you're using MD5 as a signature, you might as well use a proper asymmetric key signature.", '2008-09-08T13:41:18.977', '4926'
'325', '49742', '0', "Glad someone linked to msysgit, I've had much better results with it than the 'offical' Cygwin version.", '2008-09-08T13:51:28.670', '1944'
'327', '24401', '0', "You are getting it wrong. I'm asking about hackers bypassing the ASP page.", '2008-09-08T14:16:04.180', '2385'
'329', '24161', '2', "FlexeLint is a commercial product which has no development history in common with Johnson's original Unix Lint, AFAIK. A non-commercial alternative is Splint.", '2008-09-08T14:20:37.680', '1412'
'331', '22595', '0', "yes, I'm using an ASP page to do the upload, but...It is safe to give IUSR write permission to the folder? If a hacker try to post to same folder, IIS will be involved too.", '2008-09-08T14:23:26.190', '2385'
'332', '30262', '13', 'Label/Textbox pairs should use the <label> tag.  With a little work  _{display:block;float:left;}_ you can style all the labels in a field set to have the desired width.', '2008-09-08T14:31:01.523', '3043'
'333', '24401', '0', 'You also cannot guarantee that the MIME type is correct since this is passed by the browser (as I recall). One should open the image via something like ImageMagik and check that the dimensions can be read properly.', '2008-09-08T14:31:36.187', '157'
'334', '49815', '0', 'Whoa, looks like Glenn and I posted *almost* at the same time, which means we were writing our responses essentially simultaneously. Oh well, I had good intentions. :)', '2008-09-08T14:34:08.787', '1790'
'335', '49802', '0', 'Upvoted for the answer & the Charlie avatar!', '2008-09-08T14:35:23.090', '2975'
'336', '49815', '0', 'Great minds.... :)', '2008-09-08T14:35:56.520', '2975'
'337', '49813', '0', "Couldn't agree more. Get stuck in :)", '2008-09-08T14:36:17.830', '383'
'338', '22595', '0', "it's probably the most convenient method. Another solution would be to connect back to the server itself and re-upload the uploaded file via FTP for example, but the security benefit for the trouble is not really worth it.", '2008-09-08T14:37:13.100', '5083'
'339', '49802', '0', "Thanks ... but it's Soren Lorensen actually ;)", '2008-09-08T14:38:30.040', '4309'
'340', '49825', '0', "The original poster of the question didn't say he was going to be learning ASP.NET, specifically - just .NET and C#.", '2008-09-08T14:39:02.270', '1790'
'341', '49773', '1', 'This is awesome, thanks!  I converted your code to C#, and am able to call it from a WPF application and print out the macro code in a listbox.  I will post the C# version of the code in my edited answer.', '2008-09-08T14:41:10.703', '2194'
'344', '49804', '0', 'Is IFRAME really necessary? Can someone confirm this? I am confused.', '2008-09-08T14:52:25.420', '2361'
'346', '40523', '229', "Isn't it slightly confusing the issue with internal details? There's no conceptual difference between 'passing a reference' and 'passing the value of a reference', assuming that you mean 'the value of the internal pointer to the object'.", '2008-09-08T14:58:53.407', '974'
'347', '49796', '1', "This is nice since you'll get forms and such intact. +1", '2008-09-08T14:58:55.513', '3655'
'348', '40810', '0', '+1 for [Neep by James M. Knoble](http://www.jmknoble.net/fonts/). I prefer the 12 point size.', '2008-09-08T15:01:18.877', '3377'
