Id,PostHistoryTypeId,PostId,RevisionGUID,CreationDate,UserId,Text
25,2,33,b05fc0ef-9eee-4efc-8e15-cc7c3c734ea6,2008-08-01T12:26:39.773,13,"`Math.Floor` rounds down, `Math.Ceiling` rounds up, and `Math.Truncate` rounds towards zero. Thus, `Math.Truncate` is like `Math.Floor` for positive numbers, and like `Math.Ceiling` for negative numbers. Here's the [reference](http://msdn.microsoft.com/en-us/library/system.math.truncate.aspx).

For completeness, `Math.Round` rounds to the nearest integer. If the number is exactly midway between two integers, then it rounds towards the even one. [Reference.](http://msdn.microsoft.com/en-us/library/system.math.round.aspx)"
26,1,34,c2579e01-1223-48a0-be40-3e7d393b4418,2008-08-01T12:30:57.630,,Unloading a ByteArray in Actionscript 3.
27,3,34,c2579e01-1223-48a0-be40-3e7d393b4418,2008-08-01T12:30:57.630,,<flex><actionscript-3>
28,2,34,c2579e01-1223-48a0-be40-3e7d393b4418,2008-08-01T12:30:57.630,,"Does anyone know how to forcefully unload a ByteArray from memory in AS3?

I have tried (without success):
<pre><code>
byteArray.length = 0;
byteArray = new ByteArray();

and

for ( var i:int=0; i&lt;byteArray.length; i++ ) {
    byteArray[i] = null;
}
</code></pre>
Any ideas?"
37,2,44,aabf9c4a-ebb4-4375-a0c6-93546452e145,2008-08-01T12:55:42.413,35,"Consider using a [ManualResetEvent][1] to block the main thread at the end of its processing, and call Reset() on it once the timer's processing has finished.  If this is something that needs to run constantly, consider moving this into a service process instead of a console app.


  [1]: http://msdn.microsoft.com/en-us/library/system.threading.manualresetevent.aspx ""MSDN Reference"""
40,2,49,e7eeec01-306e-4604-ac88-876052bd9122,2008-08-01T13:02:51.900,43,"Here is one hack that might work. Isn't clean, but it looks like it might work:

http://www.brokenbuild.com/blog/2006/08/15/mysql-triggers-how-do-you-abort-an-insert-update-or-delete-with-a-trigger/

Essentially you just try to update a column that doesn't exist."
42,2,51,c4128c3e-fbe8-4eb4-bd7a-120913786812,2008-08-01T13:07:52.810,17,"Why don't you want to use triggers.  They are a good thing if you use them correctly.  If you use them as a way to enforce referential integrity that is when they go from good to bad.  But if you use them for monitoring, they are not really considered taboo."
43,2,52,25e071df-8581-4cf5-a270-b05d129160db,2008-08-01T13:08:59.127,23,"Have a look at this article

<http://www.gskinner.com/blog/archives/2006/06/as3_resource_ma.html>

IANA actionscript programmer, however the feeling I'm getting is that, because the garbage collector might not run when you want it to.

Hence
<http://www.craftymind.com/2008/04/09/kick-starting-the-garbage-collector-in-actionscript-3-with-air/>

So I'd recommend trying out their collection code and see if it helps

    private var gcCount:int;
    private function startGCCycle():void{
     gcCount = 0;
     addEventListener(Event.ENTER_FRAME, doGC);
    }
    private function doGC(evt:Event):void{
     flash.system.System.gc();
     if(++gcCount > 1){
      removeEventListener(Event.ENTER_FRAME, doGC);
      setTimeout(lastGC, 40);
     }
    }
    private function lastGC():void{
     flash.system.System.gc();
    }"
44,2,53,e7a9a615-b7e7-4445-a522-514b9322f061,2008-08-01T13:08:59.487,34,"(I'm not positive about this, but...)

AS3 uses a non-deterministic garbage collection. Which means that unreferenced memory will be freed up whenever the runtime feels like it (typically not unless there's a reason to run, since it's an expensive operation to execute). This is the same approach used by most modern garbage collected languages (like C# and Java as well).

Assuming there are no other references to the memory pointed to by byteArray or the items within the array itself, the memory will be freed at some point after you exit the scope where byteArray is declared.

You can force a garbage collection, though you really shouldn't. If you do, do it only for testing...if you do it in production, you'll hurt performance much more than help me.

To force a GC, try (yes, twice):
flash.system.System.gc();
flash.system.System.gc();

You can read more at:
http://www.craftymind.com/2008/04/09/kick-starting-the-garbage-collector-in-actionscript-3-with-air/"
46,2,56,f1d77e97-2e4a-4602-bd53-65d2434cdf34,2008-08-01T13:10:16.473,39,"Give your submit buttons same name like this:

    <input type=""submit"" name=""submitButton"" value=""Previous Page"" />
    <input type=""submit"" name=""submitButton"" value=""Next Page"" />

When the user presses enter and the *Request* goes to server, you can check the value for **submitButton** on your server-side code which contains a collection of form name/value pairs. For example in classic ASP:


    If Request.Form(""submitButton"") = ""Previous Page"" Then
        ' Code for Previous Page
    ElseIf Request.Form(""submitButton"") = ""Next Page"" Then
        ' Code for Next Page
    End If


Reference: [Using multiple submit buttons on a single form][1]


  [1]: http://www.chami.com/tips/internet/042599I.html"
51,2,58,d6428baa-2fec-47bd-ad1e-6b9323d9ce0f,2008-08-01T13:14:30.303,37,"Would it be possible for you to change the previous button type int a button like this:  

    <input type=""button"" name=""prev"" value=""Previous Page"" />

Now the Next button would be the default, plus you could also add the default attribute to it so that your browser will highlight it like so:

    <input type=""submit"" name=""next"" value=""Next Page"" default />

Hope that helps,  
Wally"
52,2,60,0fca11ea-9e56-4e3a-92d8-e1015fa8f853,2008-08-01T13:14:40.007,41,"Unfortunately when it comes to memory management in Flash/actionscript there isn't a whole lot you can do. ActionScript was designed to be easy to use (so they didn't want people to have to worry about memory management)

The following is a workaround, instead of creating a ByteArray variable try this.

    var byteObject:Object = new Object();

    byteObject.byteArray = new ByteArray();

    ...

    //Then when you are finished delete the variable from byteObject
    delete byteObject.byteArray;

Where byteArray is a dynamic property of byteObject, you can free the memory that was allocated for it."
53,2,27,3fe3b79d-15fe-4ffd-9ed2-0b75acd66584,2008-08-01T12:17:19.357,17,"This is the method I am currently using on one of my websites.  This only returns a relative day, hour, time.  And then the user has to slap on ""ago"" in the output.

 public static string ToLongString(this TimeSpan time)
 {
  string output = String.Empty;

  if (time.Days > 0)
   output += time.Days + "" days "";

  if ((time.Days == 0 || time.Days == 1) && time.Hours > 0)
   output += time.Hours + "" hr "";

  if (time.Days == 0 && time.Minutes > 0)
   output += time.Minutes + "" min "";

  if (output.Length == 0)
   output += time.Seconds + "" sec"";

  return output.Trim();
 }"
54,5,27,222dcb1a-c413-46db-b047-681ce771c47c,2008-08-01T13:16:49.127,17,"@jeff

IMHO yours seems a little long.  However it does seem a little more robust with support for ""yesterday"" and ""years"".  But in my experience when this is used the person is most likely to view the content in the first 30 days.  It is only the really hardcore people that come after that.  So that is why I usually elect to keep this short and simple.

This is the method I am currently using on one of my websites.  This only returns a relative day, hour, time.  And then the user has to slap on ""ago"" in the output.

 public static string ToLongString(this TimeSpan time)
 {
  string output = String.Empty;

  if (time.Days > 0)
   output += time.Days + "" days "";

  if ((time.Days == 0 || time.Days == 1) && time.Hours > 0)
   output += time.Hours + "" hr "";

  if (time.Days == 0 && time.Minutes > 0)
   output += time.Minutes + "" min "";

  if (output.Length == 0)
   output += time.Seconds + "" sec"";

  return output.Trim();
 }"
62,2,62,b1929537-4fdc-4034-af13-42b4b9b08345,2008-08-01T13:18:37.640,45,"According to Mark Russo (http://introducinglinq.com/blogs/marcorusso/archive/2008/07/20/use-of-distinct-and-orderby-in-linq.aspx) 

> ""The problem is that the Distinct
> operator does not grant that it will
> maintain the original order of
> values.""

So your query will need to work like this

    var names = (from DataRow dr in dataTable.Rows
                 select (string)dr[""Name""]).Distinct().OrderBy( name => name );"
64,2,65,336f3bd3-df20-4992-81d7-1d4a60ebc74a,2008-08-01T13:20:44.283,35,"[Office 2007 MIME Types for IIS][1]


  [1]: http://www.bram.us/2007/05/25/office-2007-mime-types-for-iis/"
66,2,68,5b2a40f7-4408-45d5-96e0-a0fc3efe91ff,2008-08-01T13:22:04.483,17,"It is very simple with the Skip and Take extension methods.

    var query = from i in ideas
                select i;

    var paggedCollection = query.Skip(startIndex).Take(count);"
68,2,71,2b4d8371-60fd-4162-8b2e-84cfce33930b,2008-08-01T13:37:59.723,49,"Here's a general description of a technique for calculating pi that i learnt in high-school.

I only share this because I think it is simple enough that anyone can remember it, indefinitely, plus it teaches you the concept of ""Monte-Carlo"" methods -- which are statistical methods of arriving at answers that don't immediately appear to be deducible through random processes.

Draw a square, and inscribe a quadrant (one quarter of a semi-circle) inside that square (a quadrant with radius equal to the side of the square, so it fills as much of the square as possible)

Now throw a dart at the square, and record where it lands -- that is, choose a random point anywhere inside the square. Of course it landed inside the square, but is it inside the semi-circle? record this fact.

Repeat this process many times -- and you will find there is a ratio of the number of points inside the semi-circle versus the total number thrown, call this ratio x.

Since the area of the square is r times r, you can deduce that the area of the semi circle is x times r times r (that is, x times r squared). Hence x times 4 will give you pi. 

This is not a quick method to use. But it's a nice example of a monte carlo method. And if you look around, you may find that many problems otherwise outside your computational skills can be solved by such methods."
71,2,76,6dd9427e-6b56-4226-8831-2a570fbb2efd,2008-08-01T13:44:35.843,50,"I believe the easiest way would be to follow Jeff's own advice and have a look around existing code. Try looking at Wordpress, Drupal, Joomla and other well known PHP-based CMS's to see how their API hooks look and feel. This way you can even get ideas you may have not thought of previously to make things a little more rubust.

A more direct answer would be to write general files that they would ""include_once"" into their file that would provide the usability they would need. This would be broken up into categories and NOT provided in one MASSIVE ""hooks.php"" file. Be careful though, because what ends up happening is that files that they include end up having more and more dependencies and functionality improves. Try to keep API dependencies low. I.E fewer files for them to include."
72,2,77,8177b4f8-b9d2-4af5-b078-319b71613f3e,2008-08-01T13:46:00.097,40,"You could use an Observer pattern.  A simple functional way to accomplish this:

    <?php
    
    /** Plugin system **/
    
    $listeners = array();
    
    /* Create an entry point for plugins */
    function hook(){
      global $listeners;
      
      $num_args = func_num_args();
      $args = func_get_args();
      
      if($num_args < 2)
        trigger_error(""Insufficient arguments"", E_USER_ERROR);
        
      // Hook name should always be first argument
      $hook_name = array_shift($args);
      
      if(!isset($listeners[$hook_name]))
        return; // No plugins have registered this hook
      
      foreach($listeners[$hook_name] as $func){
        $args = $func($args); 
      }
      
      return $args;
    }
    
    /* Attach a function to a hook */
    function add_listener($hook, $function_name){
      global $listeners;
      
      $listeners[$hook][] = $function_name;
    }
    
    
    /////////////////////////
    
    /** Sample Plugin **/
    add_listener('a_b', 'my_plugin_func1');
    add_listener('str', 'my_plugin_func2');
    
    function my_plugin_func1($args){
      return array(4, 5);
    }
    function my_plugin_func2($args){
      return str_replace('sample', 'CRAZY', $args[0]);
    }
    
    /////////////////////////
    
    /** Sample Application **/
    
    $a = 1;
    $b = 2;
    
    list($a, $b) = hook('a_b', $a, $b);
    
    $str  = ""This is my sample application\n"";
    $str .= ""$a + $b = "".($a+$b).""\n"";
    $str .= ""$a * $b = "".($a*$b).""\n"";
    
    $str = hook('str', $str);
    
    echo $str;
    
    ?>

**Output:**

    This is my CRAZY application
    4 + 5 = 9
    4 * 5 = 20

**Notes:**

For this example source code, you must declare all your plugins before the actual source code that you want to be extendable.  I've included an example of how to handle single or multiple values being passed to the plugin.  The hardest part of this is writing the actual documentation which lists what arguments get passed to each hook.

This is just one method of accomplishing a plugin system in PHP.  There are better alternatives, I suggest you check out the WordPress Documentation for more information.

*Sorry, it appears underscore characters are replaced by HTML entities by Markdown?  I can re-post this code when this bug gets fixed.*

*Edit: Nevermind, it only appears that way when you are editing*"
73,2,78,8cc1d184-58be-4eeb-bb56-824de2765149,2008-08-01T13:53:06.357,55,"It sounds like this.Opacity is a double value, and the compiler doesn't like you trying to cram a decimal value into it."
74,2,73,cd52b580-3088-417c-9e00-d8354d40c76f,2008-08-01T13:40:16.443,13,"@Jax: The `extern ""C""` thing matters, very very much. If a header file doesn't have one, then (unless it's a C++-only header file), you would have to enclose your `#include` with it:

    #ifdef __cplusplus
    extern ""C"" {
    #endif
    #include <sys/socket.h>
    // include other similarly non-compliant header files
    #ifdef __cplusplus
    }
    #endif

Basically, anytime where a C++ program wants to link to C-based facilities, the `extern ""C""` is vital. In practical terms, it means that the names used in external references will not be mangled, like normal C++ names would. [Reference.](http://www.parashift.com/c++-faq-lite/mixing-c-and-cpp.html)"
75,5,73,8783767d-34ba-40c0-bab3-8716d3a88e91,2008-08-01T13:54:25.510,13,"@Jax: The `extern ""C""` thing matters, very very much. If a header file doesn't have one, then (unless it's a C++-only header file), you would have to enclose your `#include` with it:

    extern ""C"" {
    #include <sys/socket.h>
    // include other similarly non-compliant header files
    }

Basically, anytime where a C++ program wants to link to C-based facilities, the `extern ""C""` is vital. In practical terms, it means that the names used in external references will not be mangled, like normal C++ names would. [Reference.](http://www.parashift.com/c++-faq-lite/mixing-c-and-cpp.html)"
76,2,81,c08c22d1-eff4-434e-bf85-d32953e59916,2008-08-01T14:03:22.230,41,"I believe you have answered your own question...

System.totalMemory gives you the total amount of memory being ""used"", not allocated. It is accurate that your application may only be using 20mb, but it has 5mb that is free for future allocations.

I'm not sure if the Adobe docs would shed light on the way that it manages memory..."
77,2,82,c991da8c-286f-4996-a997-e85647adcd40,2008-08-01T14:06:28.560,51,"Have a DTS job (or a job that is started by a windows service) that runs at a given interval. Each time it is run, it gets information about the given table by using the system [INFORMATION_SCHEMA][1] tables, and records this data in the data repository. Compare the data returned regarding the structure of the table with the data returned the previous time. If it is different, then you know that the structure has changed.

Example query to return information regarding all of the columns in table ABC (ideally listing out just the columns from the INFORMATION_SCHEMA table that you want, instead of using *select ** like I do here):

    select * from INFORMATION_SCHEMA.COLUMNS where TABLE_NAME = 'ABC'

You would monitor different columns and INFORMATION_SCHEMA views depending on how exactly you define ""changes to a table"".


  [1]: http://msdn.microsoft.com/en-us/library/ms186778.aspx"
79,2,87,39798d44-c8af-425c-8481-7593b112bb0e,2008-08-01T14:26:22.793,59,"One framework I'm considering would be for a blogging platform.  Since just about any possible view of data you would want would be sorted by date, I was thinking about this structure:

One directory per content node:
./content/YYYYMMDDHHMMSS/

Subdirectories of each node including  
/tags  
/authors  
/comments  

as well as simple text files in the node directory for pre- and post-rendered content and the like.

This would allow a simple PHP [glob()][1] call (and probably a reversal of the result array) to query on just about anything within the content structure:

    glob(""content/*/tags/funny"");  

would return paths including all articles tagged ""funny"".

  [1]: http://us3.php.net/glob"
80,2,89,eb4bbfd5-4372-498a-b8f9-703e66e495c4,2008-08-01T14:41:01.110,,"I've had problems with JavaHL in Eclipse Ganymede, when it worked fine in Eclipse Europa.  I'm not sure how Aptana is different, but try either upgrading JavaHL or switching to the pure-java SVNKit implementation within the Subclipse config."
82,2,92,e48d3f44-62e8-453e-84ef-9b55bf0c89bb,2008-08-01T14:45:37.403,61,"[Version Control with Subversion][1]

A very good resource for source control in general. Not really TortoiseSVN specific, though.


  [1]: http://svnbook.red-bean.com/"
86,2,99,7b0194e2-e9de-426b-98f5-4528a2f7d8c4,2008-08-01T14:55:08.477,25,"> 
The actual resolution of gettimeofday() depends on the hardware architecture. Intel processors as well as SPARC machines offer high resolution timers that measure microseconds. Other hardware architectures fall back to the system’s timer, which is typically set to 100 Hz. In such cases, the time resolution will be less accurate. 


I obtained this answer from [High Resolution Time Measurement and Timers, Part I][1]


  [1]: http://www.informit.com/guides/content.aspx?g=cplusplus&seqNum=272"
88,2,93,a53a7005-c100-46f2-97d1-a526b708aa41,2008-08-01T14:46:53.097,25,"From my experience, and from what I've read across the internet, the answer is ""No,"" it is not guaranteed.  It depends on CPU speed, operating system, flavor of Linux, etc."
89,2,98,b7d3d552-f676-4b7b-b23d-20806f132f44,2008-08-01T14:53:47.497,2089740,"Maybe. But you have bigger problems. `gettimeofday()` can result in incorrect timings if there are processes on your system that change the timer (ie, ntpd). On a ""normal"" linux, though, I believe the resolution of `gettimeofday()` is 10us. It can jump forward and backward and time, consequently, based on the processes running on your system. This effectively makes the answer to your question no.

You should look into `clock_gettime(CLOCK_MONOTONIC)` for timing intervals. It suffers from several less issues due to things like dual-core systems and external clock settings.

Also, look into the clock_getres() function."
90,5,98,b19939ec-d0b6-400e-b2a1-796fc05389b9,2008-08-01T15:01:48.730,2089740,"Maybe. But you have bigger problems. `gettimeofday()` can result in incorrect timings if there are processes on your system that change the timer (ie, ntpd). On a ""normal"" linux, though, I believe the resolution of `gettimeofday()` is 10us. It can jump forward and backward and time, consequently, based on the processes running on your system. This effectively makes the answer to your question no.

You should look into `clock_gettime(CLOCK_MONOTONIC)` for timing intervals. It suffers from several less issues due to things like multi-core systems and external clock settings.

Also, look into the clock_getres() function."
92,2,103,414b5a97-4cbc-4f2f-a595-29713b7ddfb7,2008-08-01T15:11:59.987,72,"Javascript is the easiest way to get the client's local time.  I would suggest using an XMLHttpRequest to send back the local time, and if that fails, fall back to the timezone detected based on their IP address.

As far as geolocation, I've used [MaxMind GeoIP][1] on several projects and it works well, though I'm not sure if they provide timezone data.  It's a service you pay for and they provide monthly updates to your database.  They provide wrappers in several web languages.


  [1]: http://www.maxmind.com/app/ip-location"
94,2,107,35cd059d-2dec-4899-bfa1-cd94936146e6,2008-08-01T15:19:25.900,61,"I guess in a managed environment, a leak would be you keeping an unnecessary reference to a large chunk of memory around."
95,2,110,ff032868-9fa2-41fd-96db-e03bb60c604c,2008-08-01T15:23:33.817,36,"I will concur with Bernard as to in .net what a mem leak would be.

You could profile your application to see its memory use, and determine that if its managing a lot of memory when it should not be you could say it has a leak.

In managed terms I will put my neck on the line to say it does go away once the process is killed/removed.

Unmanaged code is it's own beast and if a leak exists within it, it will follow a standard mem. leak definition."
96,2,22,8b589bb2-5300-44b3-9f1e-584e1d2db9ab,2008-08-01T12:07:19.500,17,"The best way that I know of because of leap years and everything is:

    DateTime birthDate = new DateTime(2000, 1, 1);
    int age = (DateTime.Now - birthDate).Days /365;

Hope this helps."
97,5,22,7f678f89-fd4c-48ce-a254-07f0bffa33d6,2008-08-01T15:16:52.257,17,"The best way that I know of because of leap years and everything is:

    DateTime birthDate = new DateTime(2000, 1, 1);
    int age = Convert.ToInt32((DateTime.Now - birthDate).TotalDays /365.25D);

Hope this helps."
98,5,22,12df1e36-261e-4334-9d23-5297d434f9e8,2008-08-01T15:26:37.087,17,"The best way that I know of because of leap years and everything is:

    DateTime birthDate = new DateTime(2000,3,1);
    int age = (int)Math.Floor((DateTime.Now - birthDate).TotalDays / 365.25D);

Hope this helps."
99,2,111,fa450384-b223-4a35-9664-1c7d73b9e437,2008-08-01T15:27:23.093,146270,I have been using the 64Bit version of TortoiseSVN for ages and I have never had issues with it on Windows 64Bit or Vista 64Bit. I am currently not aware of any other similiar SVN clients that do work on Vista. Is it possible the problem could lie within the configuration of TortoiseSVN or even the installation of Vista? Is the problem occurring on Vista native or SP 1?
104,2,113,2f24a964-5379-4314-83e5-dacda3cff2f8,2008-08-01T15:32:11.337,60,"I'll second Diago's answer.  I use TortoiseSVN on Vista x64 pretty heavily.

I did upgrade directly from an older version to 1.5.2 though, and never used 1.5.1.  Have you tried 1.5.2?"
105,2,114,5b6b1a99-cf3f-43b0-8ecb-669708d29d40,2008-08-01T15:32:42.473,17,TortoiseSVN in combination with VisualSVN for VS.
107,2,116,54ea1d38-b5d5-4ece-bef8-57714c2d153d,2008-08-01T15:34:43.873,58,"I too get explorer crashes in Vista (I'm not in the 64Bit version though). I'm using Vista Super Saijen (or whatever they are calling the most expensive version). I'm not having any bugs with Tortoise.

My explorer does, however, crash about every other day (sometimes multiple times a day if it's having an ""off"" day). I'm not positive it's being caused by TortoiseSVN though. From what I hear, the explorer just crashes a lot in Vista...

Have you tried uninstalling Tortoise and using Windows for a day or two and seeing if it still crashes? Do you restart your computer at least once a day (It seems the longer I go between restarts, the worse the crashes get)?"
110,2,26,f7c94ebd-d873-4f2f-a126-dc7f8446f063,2008-08-01T12:16:22.167,48,"The answer above is correct but I think there is a lot of confusing additional detail there.  The basic answer is ""in a BLOB column"".  BLOB is short for Binary Large OBject and that column type is specifically for handling binary data.

See [the relevant manual page][1].


  [1]: http://http://dev.mysql.com/doc/refman/5.0/en/blob.html"
111,5,26,2c1f1024-f057-403d-888e-05143eda72b2,2008-08-01T15:47:00.557,2,"The answer above is correct but I think there is a lot of confusing additional detail there.  The basic answer is ""in a BLOB column"".  BLOB is short for Binary Large OBject and that column type is specifically for handling binary data.

See [the relevant manual page][1].


  [1]: http://dev.mysql.com/doc/refman/5.0/en/blob.html"
116,2,124,c5b64fb0-7dc7-4221-ae8d-4ac06842d9eb,2008-08-01T16:09:47.687,26,"Wound up using this, kind of a hack, but actually works pretty well. Only thing is you have to be very careful with your semicolons. : D

   var strSql:String = stream.readUTFBytes(stream.bytesAvailable);   
   var i:Number = 0;
   var strSqlSplit:Array = strSql.split("";"");
   for (i = 0; i < strSqlSplit.length; i++){
     NonQuery(strSqlSplit[i].toString());
   }"
118,2,128,619f4daf-c89e-49db-86e7-f30f98de5179,2008-08-01T16:19:04.283,26,"It depends on how the property is used. For example, say you have a student object that has a name property. You could use your Get method to pull the name from the database, if it hasn't been retrieved already. This way you are reducing unnecessary calls to the database.

Now let's say you have a private integer counter in your object that counts the number of times the name has been called. You may want to not use the Get method from inside the object because it would produce an invalid count."
121,2,133,49eb5035-6db0-4ff3-82cb-c4a7d06dbb13,2008-08-01T16:31:43.430,59,"This may be too basic or limited of a solution, but couldn't you do a [String.split()][1] on each line of the file, remembering the result array of the first line to generate the XML, and just spit each line's array data out with the proper XML elements padding each iteration of a loop?


  [1]: http://java.sun.com/j2se/1.4.2/docs/api/java/lang/String.html#split(java.lang.String)"
122,2,127,6cf9f30e-2f89-47a1-8374-13405b59f849,2008-08-01T16:13:47.600,35,"This has religious war potential, but it seems to me that if you're using a getter/setter, you should use it internally as well - using both will lead to maintenance problems down the road (e.g. some adds code to a setter that *needs* to run every time that property is set, and the property is being set internally w/o that setter being called)."
123,5,127,388abfe3-bb10-4402-b450-e6c6097328eb,2008-08-01T16:32:17.110,35,"This has religious war potential, but it seems to me that if you're using a getter/setter, you should use it internally as well - using both will lead to maintenance problems down the road (e.g. somebody adds code to a setter that *needs* to run every time that property is set, and the property is being set internally w/o that setter being called)."
124,2,135,90ee001b-bef3-486c-8e0a-6d780bcfedf2,2008-08-01T16:36:42.080,72,"Rolling your own PHP solution will certainly work though I'm not sure if there is a good way to automatically duplicate the schema from one DB to the other (maybe this was your question).

If you are just copying data, and/or you need custom code anyway to convert between modified schemas between the two DB's, I would recommend using PHP 5.2+ and the PDO libraries.  You'll be able to connect using PDO ODBC (and use MSSQL drivers).  I had a lot of problems getting large text fields and multi-byte characters from MSSQL into PHP using other libraries."
127,2,139,ff4c9d81-e4ff-4f2e-b212-28207270b540,2008-08-01T16:43:30.880,72,"> Am I just going overboard here?

Perhaps ;)

Another approach would be to utilize a private/protected method to actually do the getting (caching/db/etc), and a public wrapper for it that increments the count:

PHP:

    public function getName() {
        $this->incrementNameCalled();
        return $this->_getName();
    }

    protected function _getName() {
        return $this->name;
    }

and then from within the object itself:

PHP:

    $name = $this->_getName();

This way you can still use that first argument for something else (like sending a flag for whether or not to used cached data here perhaps)."
129,2,141,ccc13a8c-18bf-460a-bebc-74605af04021,2008-08-01T16:47:54.927,71,"Another tool to try would be the SQLMaestro suite - http://www.sqlmaestro.com It is a little tricky nailing down the precise tool, but they have a variety of tools, both free and for purchase that handle a wide variety of tasks for multiple database platforms. I'd suggest trying the Data Wizard tool first for MySQL, since I believe that will have the proper ""import"" tool you need."
130,2,142,9f4e3f51-b0c8-429f-bbb3-111ba6e102e1,2008-08-01T16:56:55.830,42,"Well, it seems with C# 3.0 properties' default implementation, the decision is taken for you; you HAVE to set the property using the (possibly private) property setter.

I personally only use the private member-behind when not doing so would cause the object to fall in an less than desirable state, such as when initializing or when caching/lazy loading is involved."
131,2,143,dddcf29d-4f27-4433-95d0-64dc9f71980e,2008-08-01T17:01:27.240,86,"As stated in some of the comments: Sometimes you should, sometimes you shouldn't. The great part about private variables is that you are able to see all the places they are used when you change something. If your getter/setter does something you need, use it. If it doesn't matter you decide.

The opposite case could be made that if you use the getter/setter and somebody changes the getter/setter they have to analyze all the places the getter and setter is used internally to see if it messes something up."
133,1,146,3a44b5ce-4411-40e3-9fa0-2d2937399084,2008-08-01T17:14:58.337,30,How do I track file downloads with apache/PHP
134,3,146,3a44b5ce-4411-40e3-9fa0-2d2937399084,2008-08-01T17:14:58.337,30,<php><apache>
135,2,146,3a44b5ce-4411-40e3-9fa0-2d2937399084,2008-08-01T17:14:58.337,30,"I have a website that plays mp3's in a flash player. If a user clicks 'play' the flash player automatically downloads an mp3 and starts playing it. 

Is there an easy way to track how many times a particular song clip (or any binary file) is downloaded?"
